<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP,60,20220804,100000,71.45,71.85,71.45,71.6,1387,0
ACP,60,20220804,110000,71.6,71.65,71.25,71.35,2571,0
ACP,60,20220804,120000,71.35,71.35,71,71.15,1682,0
ACP,60,20220804,130000,71.25,71.8,71.25,71.5,2843,0
ACP,60,20220804,140000,71.5,71.8,71.5,71.55,3188,0
ACP,60,20220804,150000,71.6,72.2,71.6,71.9,3359,0
ACP,60,20220804,160000,71.75,71.8,71.35,71.7,10272,0
ACP,60,20220804,170000,71.6,71.9,71.3,71.6,21310,0
ACP,60,20220805,100000,72.15,73.35,71.5,73.3,6758,0
ACP,60,20220805,110000,73,73.3,72.25,72.25,5188,0
ACP,60,20220805,120000,72.2,72.9,72,72.65,4212,0
ACP,60,20220805,130000,72.7,72.8,72.55,72.55,1628,0
ACP,60,20220805,140000,72.55,73.45,72.55,73.1,8251,0
ACP,60,20220805,150000,73.35,73.35,72.15,72.25,8181,0
ACP,60,20220805,160000,72.3,72.45,71.95,71.95,2838,0
ACP,60,20220805,170000,71.95,72.15,71.4,71.7,17839,0
ACP,60,20220808,100000,72.05,72.9,72,72,2658,0
ACP,60,20220808,110000,72.15,72.15,71.55,71.95,2211,0
ACP,60,20220808,120000,71.85,72.85,71.85,72.85,2923,0
ACP,60,20220808,130000,72.8,73.9,72.8,73.9,6711,0
ACP,60,20220808,140000,73.85,74.35,73.85,74.35,8281,0
ACP,60,20220808,150000,74.1,74.85,74.1,74.85,14689,0
ACP,60,20220808,160000,74.85,75.35,74.75,75.35,8757,0
ACP,60,20220808,170000,75.2,75.45,75,75.45,21493,0
ACP,60,20220809,100000,75.05,75.25,73.9,74,1599,0
ACP,60,20220809,110000,74.1,74.55,73.85,74.25,1025,0
ACP,60,20220809,120000,74.5,74.75,73.95,74.15,1477,0
ACP,60,20220809,130000,73.85,73.9,73.35,73.35,3679,0
ACP,60,20220809,140000,73.35,73.6,72.45,72.8,6889,0
ACP,60,20220809,150000,72.45,73.2,72.45,73,6818,0
ACP,60,20220809,160000,72.8,72.8,72,72.05,6092,0
ACP,60,20220809,170000,72.05,72.6,71.8,72.35,12243,0
ACP,60,20220810,100000,72.95,72.95,71.4,71.5,7752,0
ACP,60,20220810,110000,71.5,72.1,71.35,71.65,9174,0
ACP,60,20220810,120000,71.6,72.05,71.55,72.05,4021,0
ACP,60,20220810,130000,71.85,71.95,71.85,71.95,1132,0
ACP,60,20220810,140000,71.95,72,71.8,71.95,1710,0
ACP,60,20220810,150000,71.95,72.85,71.95,72.75,5648,0
ACP,60,20220810,160000,72.75,72.75,72.4,72.7,4215,0
ACP,60,20220810,170000,72.75,73.3,72.5,72.75,14527,0
ACP,60,20220811,100000,73.85,73.85,72.45,72.8,1683,0
ACP,60,20220811,110000,72.8,73.1,72.8,73.05,1364,0
ACP,60,20220811,120000,73.05,73.05,73,73,77,0
ACP,60,20220811,130000,72.85,72.95,72.7,72.7,728,0
ACP,60,20220811,140000,72.9,73.15,72.7,73,1369,0
ACP,60,20220811,150000,73.1,73.35,73.1,73.35,1781,0
ACP,60,20220811,160000,73.25,73.25,72.95,72.95,4353,0
ACP,60,20220811,170000,72.9,73.25,72.9,73.2,9664,0
ACP,60,20220812,100000,73.45,73.5,73.15,73.45,659,0
ACP,60,20220812,110000,73.3,73.4,73,73.1,2095,0
ACP,60,20220812,120000,73.05,73.5,73.05,73.3,651,0
ACP,60,20220812,130000,73.3,73.75,73.3,73.75,3924,0
ACP,60,20220812,140000,73.75,73.8,73.5,73.65,1492,0
ACP,60,20220812,150000,73.65,74.25,73.65,74.25,5320,0
ACP,60,20220812,160000,74.2,74.35,74.1,74.3,3026,0
ACP,60,20220812,170000,74.3,74.9,74.1,74.4,12862,0
ACP,60,20220816,100000,75,75.25,74.5,75.05,26292,0
ACP,60,20220816,110000,75.15,76.7,75,76.25,15808,0
ACP,60,20220816,120000,76.45,76.95,76.35,76.95,7587,0
ACP,60,20220816,130000,76.9,77,76.25,76.5,4193,0
ACP,60,20220816,140000,76.65,77,76.55,76.8,4572,0
ACP,60,20220816,150000,76.8,77.15,76.55,76.55,5049,0
ACP,60,20220816,160000,76.55,76.55,75.9,75.95,5460,0
ACP,60,20220816,170000,75.95,76.1,75.4,75.85,14823,0
ACP,60,20220817,100000,75.35,76.9,74.5,74.9,4691,0
ACP,60,20220817,110000,74.9,74.95,74.5,74.75,6859,0
ACP,60,20220817,120000,74.6,74.6,73.7,73.8,6757,0
ACP,60,20220817,130000,73.6,74.5,73.6,74,6178,0
ACP,60,20220817,140000,73.95,74.05,73.6,73.8,6045,0
ACP,60,20220817,150000,73.85,74.05,73.45,73.5,5853,0
ACP,60,20220817,160000,73.6,74.55,73.5,74.2,10195,0
ACP,60,20220817,170000,74.05,74.6,73.85,73.95,22796,0
ACP,60,20220818,100000,74.85,75.85,74.15,75.3,6915,0
ACP,60,20220818,110000,75.4,75.65,75.2,75.2,1537,0
ACP,60,20220818,120000,75.3,75.65,75.2,75.45,1590,0
ACP,60,20220818,130000,75.5,75.95,75.2,75.25,2158,0
ACP,60,20220818,140000,75.25,75.25,75,75,4418,0
ACP,60,20220818,150000,75.05,75.85,75.05,75.75,2567,0
ACP,60,20220818,160000,75.8,76.4,75.55,76.15,4850,0
ACP,60,20220818,170000,76.1,76.85,76,76.25,9084,0
ACP,60,20220819,100000,76,76.85,75.15,76.7,7743,0
ACP,60,20220819,110000,76.7,76.85,76.25,76.85,11717,0
ACP,60,20220819,120000,76.6,76.9,76.45,76.9,9134,0
ACP,60,20220819,130000,76.85,76.9,76.25,76.5,10966,0
ACP,60,20220819,140000,76.5,77.5,76.5,77.5,17421,0
ACP,60,20220819,150000,77.4,77.75,77.05,77.35,22956,0
ACP,60,20220819,160000,77.35,77.9,77.2,77.6,14453,0
ACP,60,20220819,170000,77.6,78,77.3,77.6,24887,0
ACP,60,20220822,100000,77.5,77.5,75.5,76.05,9740,0
ACP,60,20220822,110000,76.15,76.15,75.65,75.75,3919,0
ACP,60,20220822,120000,75.75,75.8,75.2,75.2,9125,0
ACP,60,20220822,130000,75.2,75.4,74.85,74.9,8432,0
ACP,60,20220822,140000,74.9,74.95,74.8,74.95,4991,0
ACP,60,20220822,150000,75,75,74.4,74.45,35584,0
ACP,60,20220822,160000,74.4,74.5,73.75,73.9,10529,0
ACP,60,20220822,170000,73.95,74.2,73.85,74.1,39128,0
ACP,60,20220823,100000,74.1,75.3,73.9,75.25,8914,0
ACP,60,20220823,110000,75.15,76.35,75.1,76,28692,0
ACP,60,20220823,120000,75.9,76,75.2,75.2,25811,0
