<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALE,60,20220804,100000,25.645,26.42,25.485,26.3,396754,0
ALE,60,20220804,110000,26.3,27,26.05,27,904328,0
ALE,60,20220804,120000,27,27.47,27,27.36,592731,0
ALE,60,20220804,130000,27.355,27.7,27.21,27.565,809866,0
ALE,60,20220804,140000,27.495,27.99,27.485,27.9,729886,0
ALE,60,20220804,150000,27.9,27.9,27.435,27.635,489475,0
ALE,60,20220804,160000,27.63,27.65,26.9,27.215,1326890,0
ALE,60,20220804,170000,27.19,27.19,26.35,26.71,1174024,0
ALE,60,20220805,100000,26.935,27.15,26.7,26.7,361875,0
ALE,60,20220805,110000,26.7,26.755,26.35,26.39,178880,0
ALE,60,20220805,120000,26.42,26.58,26.35,26.5,130038,0
ALE,60,20220805,130000,26.5,26.565,26.355,26.565,74481,0
ALE,60,20220805,140000,26.505,26.665,26.425,26.57,106129,0
ALE,60,20220805,150000,26.57,26.685,25.8,25.885,335845,0
ALE,60,20220805,160000,25.9,26.045,25.62,25.93,327774,0
ALE,60,20220805,170000,25.94,26.1,25.8,25.865,512300,0
ALE,60,20220808,100000,26.3,26.4,25.6,25.695,96492,0
ALE,60,20220808,110000,25.73,25.785,25.415,25.68,79117,0
ALE,60,20220808,120000,25.68,26.2,25.6,25.91,152945,0
ALE,60,20220808,130000,25.94,26.21,25.8,26.015,143223,0
ALE,60,20220808,140000,26.015,26.03,25.71,25.965,99519,0
ALE,60,20220808,150000,25.965,25.965,25.56,25.8,177185,0
ALE,60,20220808,160000,25.81,25.95,25.57,25.725,148884,0
ALE,60,20220808,170000,25.78,25.785,25.225,25.565,425130,0
ALE,60,20220809,100000,25.5,26.52,25.5,26.315,301704,0
ALE,60,20220809,110000,26.265,26.275,26.06,26.18,70304,0
ALE,60,20220809,120000,26.2,26.585,26.2,26.45,157417,0
ALE,60,20220809,130000,26.45,26.49,26.35,26.36,100153,0
ALE,60,20220809,140000,26.395,26.69,26.35,26.41,342925,0
ALE,60,20220809,150000,26.415,27.12,26.4,27.015,466907,0
ALE,60,20220809,160000,27.015,27.085,26.81,27.01,524139,0
ALE,60,20220809,170000,27.01,27.13,26.955,26.955,801476,0
ALE,60,20220810,100000,26.655,27.07,26.42,26.975,528820,0
ALE,60,20220810,110000,26.975,27.375,26.94,27.22,1011410,0
ALE,60,20220810,120000,27.2,27.24,27.01,27.11,243678,0
ALE,60,20220810,130000,27.11,27.16,26.19,26.3,313205,0
ALE,60,20220810,140000,26.3,26.565,26.14,26.455,490775,0
ALE,60,20220810,150000,26.455,27.6,26.25,27.39,967425,0
ALE,60,20220810,160000,27.35,27.72,27.2,27.39,517658,0
ALE,60,20220810,170000,27.335,27.69,27.335,27.535,591775,0
ALE,60,20220811,100000,27.94,28.08,27.42,27.685,279723,0
ALE,60,20220811,110000,27.66,27.68,27.305,27.575,76170,0
ALE,60,20220811,120000,27.52,27.79,27.44,27.72,71413,0
ALE,60,20220811,130000,27.7,28.275,27.695,28.175,286152,0
