<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,60,20220804,100000,88.5,89.95,87.7,88.81,35956,0
CDR,60,20220804,110000,88.81,89.5,88.47,89.22,18390,0
CDR,60,20220804,120000,89.47,89.98,89.27,89.65,19276,0
CDR,60,20220804,130000,89.65,93.37,89.65,92.08,117890,0
CDR,60,20220804,140000,91.93,92.74,91.4,92.54,34914,0
CDR,60,20220804,150000,92.54,93.28,92.28,93.14,48774,0
CDR,60,20220804,160000,93.27,93.55,91.96,92.75,70612,0
CDR,60,20220804,170000,92.65,92.9,91.02,92.48,92526,0
CDR,60,20220805,100000,92.5,94.89,92.48,94.5,80940,0
CDR,60,20220805,110000,94.5,94.5,93.5,94.14,39742,0
CDR,60,20220805,120000,94.14,94.75,93.95,94.57,21943,0
CDR,60,20220805,130000,94.56,94.68,93.6,94.02,27787,0
CDR,60,20220805,140000,94.02,94.51,93.82,93.85,30472,0
CDR,60,20220805,150000,93.85,94.4,92.51,93.43,74023,0
CDR,60,20220805,160000,93.35,94.23,93.1,93.48,66116,0
CDR,60,20220805,170000,93.52,93.61,92.02,92.66,85453,0
CDR,60,20220808,100000,93.5,93.5,90.69,91,19718,0
CDR,60,20220808,110000,91,91.22,90.11,90.96,16020,0
CDR,60,20220808,120000,91,92.6,90.5,92.12,96797,0
CDR,60,20220808,130000,92.32,92.38,91.62,91.88,27446,0
CDR,60,20220808,140000,91.88,92.15,91.7,91.9,21119,0
CDR,60,20220808,150000,91.9,92.18,91.53,91.98,28539,0
CDR,60,20220808,160000,91.94,92.16,91.73,91.9,61477,0
CDR,60,20220808,170000,91.9,92.03,91.5,91.7,60690,0
CDR,60,20220809,100000,91.97,93.14,90.7,91.31,16681,0
CDR,60,20220809,110000,91.27,91.27,90.3,90.74,16577,0
CDR,60,20220809,120000,90.74,91.11,90.32,90.34,20218,0
CDR,60,20220809,130000,90.34,90.44,89.04,89.15,29166,0
CDR,60,20220809,140000,89.21,89.5,88.88,89.02,30232,0
CDR,60,20220809,150000,89.16,89.61,88.99,89.02,16571,0
CDR,60,20220809,160000,89.01,89.23,88.5,88.84,39056,0
CDR,60,20220809,170000,88.84,89.39,88.46,88.5,66643,0
CDR,60,20220810,100000,89.5,89.5,87.6,89.07,28628,0
CDR,60,20220810,110000,89.07,89.09,88.36,89,14243,0
CDR,60,20220810,120000,89,89.35,89,89.1,12646,0
CDR,60,20220810,130000,89.09,89.5,89,89.15,14572,0
CDR,60,20220810,140000,89.1,89.76,89.1,89.37,16672,0
CDR,60,20220810,150000,89.42,92.75,89.36,92,77862,0
CDR,60,20220810,160000,92,92.03,90.98,91.51,49852,0
CDR,60,20220810,170000,91.51,92,91.09,92,67061,0
CDR,60,20220811,100000,92,92.9,91.46,92.11,21158,0
CDR,60,20220811,110000,92.2,92.5,91.71,92.31,33287,0
CDR,60,20220811,120000,92.34,92.48,91.7,92.09,26661,0
CDR,60,20220811,130000,92.24,92.61,91.93,92.53,16573,0
CDR,60,20220811,140000,92.67,93.72,92.07,93.57,35391,0
CDR,60,20220811,150000,93.56,94.9,93.42,94.6,67682,0
CDR,60,20220811,160000,94.51,95.88,94.2,95.58,73952,0
CDR,60,20220811,170000,95.58,95.9,94.66,95.61,66023,0
CDR,60,20220812,100000,96.4,96.4,94.77,95.24,30417,0
