<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPS,60,20220804,100000,18.7962,18.7962,18.5903,18.7214,18853.327261869,0
CPS,60,20220804,110000,18.712,18.712,18.4967,18.5154,31116.322708321,0
CPS,60,20220804,120000,18.5154,18.5622,18.4499,18.4686,21640.517358549,0
CPS,60,20220804,130000,18.4686,18.7401,18.4686,18.7401,55989.510527796,0
CPS,60,20220804,140000,18.712,18.7775,18.6652,18.7026,32032.922594466,0
CPS,60,20220804,150000,18.7401,18.7775,18.6839,18.7588,29783.086510292,0
CPS,60,20220804,160000,18.7588,18.7775,18.5435,18.6558,46621.60329982,0
CPS,60,20220804,170000,18.6746,18.7775,18.4686,18.6278,198401.14342093,0
CPS,60,20220805,100000,18.4686,18.6184,18.4405,18.5903,26323.93682342,0
CPS,60,20220805,110000,18.5622,18.5997,18.4031,18.4031,21589.23904324,0
CPS,60,20220805,120000,18.3937,18.5435,18.2908,18.5435,54638.113259762,0
CPS,60,20220805,130000,18.5154,18.5716,18.4967,18.5529,7707.771769854,0
CPS,60,20220805,140000,18.5435,18.5435,18.4405,18.4405,21833.879339193,0
CPS,60,20220805,150000,18.4686,18.5154,18.2721,18.3001,62622.574272636,0
CPS,60,20220805,160000,18.3001,18.3282,18.1597,18.2346,50610.62891155,0
CPS,60,20220805,170000,18.2346,18.244,18.0568,18.0661,156519.57939246,0
CPS,60,20220808,100000,18.4218,18.4218,18.2533,18.3469,21706.751849156,0
CPS,60,20220808,110000,18.3469,18.3844,18.1878,18.3844,18531.769492953,0
CPS,60,20220808,120000,18.375,18.6184,18.375,18.6184,60119.551506626,0
CPS,60,20220808,130000,18.6184,18.7775,18.609,18.7214,52643.600453897,0
CPS,60,20220808,140000,18.7401,18.8899,18.7401,18.8899,23221.598747237,0
CPS,60,20220808,150000,18.8524,18.8711,18.7214,18.8337,27752.251564417,0
CPS,60,20220808,160000,18.7775,18.8524,18.7401,18.815,29794.837790884,0
