<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNP,60,20220804,100000,367.7,371.5,367.7,371.3,7583,0
DNP,60,20220804,110000,371.3,372,369.4,369.4,5966,0
DNP,60,20220804,120000,369.4,369.5,364.1,364.1,6793,0
DNP,60,20220804,130000,364.1,368.4,364.1,368.1,8881,0
DNP,60,20220804,140000,368.5,368.5,366.6,368.3,7058,0
DNP,60,20220804,150000,368.3,371.6,368.3,371.3,10729,0
DNP,60,20220804,160000,371.3,371.6,368.6,371.4,15567,0
DNP,60,20220804,170000,371.2,371.6,365,367.2,50597,0
DNP,60,20220805,100000,368.6,371.6,368.6,370.1,6763,0
DNP,60,20220805,110000,370.1,371.9,370.1,371.4,7295,0
DNP,60,20220805,120000,371.7,374.3,371.4,373,18834,0
DNP,60,20220805,130000,372.6,373.7,372.3,373.5,4956,0
DNP,60,20220805,140000,372.9,374.3,372.8,373.6,4623,0
DNP,60,20220805,150000,373.4,374.1,370.6,370.6,17435,0
DNP,60,20220805,160000,370.8,371,369,370.1,13934,0
DNP,60,20220805,170000,370.1,371,366.1,366.7,44467,0
DNP,60,20220808,100000,365,366,360.7,361.7,10494,0
DNP,60,20220808,110000,362,365.2,361.2,361.7,11253,0
DNP,60,20220808,120000,361.8,364.4,361.2,362.2,26214,0
DNP,60,20220808,130000,361.8,362.8,357.9,361.9,27002,0
DNP,60,20220808,140000,361.9,361.9,357.2,359,53428,0
DNP,60,20220808,150000,358.9,361,358.9,359.4,4293,0
DNP,60,20220808,160000,359.5,362,357.6,358,24112,0
DNP,60,20220808,170000,357.9,359.6,355.2,355.9,57259,0
DNP,60,20220809,100000,358.3,359.4,348.4,351.4,64252,0
DNP,60,20220809,110000,351.2,352.3,345,347.4,70998,0
DNP,60,20220809,120000,346.4,349.7,346.4,348.4,10883,0
DNP,60,20220809,130000,348.9,348.9,345.8,347.9,41198,0
DNP,60,20220809,140000,348.2,349,345.8,347.4,9065,0
DNP,60,20220809,150000,347.5,349.5,345,345,16641,0
DNP,60,20220809,160000,346.3,348.5,344.7,347.9,54272,0
DNP,60,20220809,170000,347.9,350,345,350,45031,0
DNP,60,20220810,100000,348.6,350,344.7,348.8,35028,0
DNP,60,20220810,110000,348.8,352,348.7,350.5,14008,0
DNP,60,20220810,120000,350.1,351.1,349.6,350.6,7922,0
DNP,60,20220810,130000,350.9,351.5,349.4,349.9,6373,0
DNP,60,20220810,140000,349.5,350.7,348.6,348.9,38715,0
DNP,60,20220810,150000,349,356.4,348.5,355,35348,0
DNP,60,20220810,160000,354.5,354.5,349.7,351.8,23051,0
DNP,60,20220810,170000,352.3,355,350.2,351.5,27264,0
DNP,60,20220811,100000,356.9,356.9,350.4,352.4,5029,0
DNP,60,20220811,110000,352.5,352.5,349.5,351,4834,0
DNP,60,20220811,120000,351.4,353.5,350,352.7,3333,0
DNP,60,20220811,130000,352.2,353.4,351.7,353,2708,0
DNP,60,20220811,140000,353.1,354.5,353.1,353.7,3811,0
DNP,60,20220811,150000,353.9,357.2,353.1,356,32009,0
DNP,60,20220811,160000,355.3,355.6,353.1,355.6,7249,0
DNP,60,20220811,170000,355.9,355.9,352.4,354.6,37642,0
DNP,60,20220812,100000,354,358,352.6,357.4,15961,0
DNP,60,20220812,110000,357.3,361.5,355.5,358.2,28394,0
DNP,60,20220812,120000,358.9,362.5,358.1,362,21667,0
DNP,60,20220812,130000,362,364.5,360.9,361.1,17788,0
DNP,60,20220812,140000,360.8,364.2,360.5,363.9,12045,0
DNP,60,20220812,150000,363.8,363.8,361.3,361.5,24615,0
DNP,60,20220812,160000,361.6,363.5,361.3,361.3,16212,0
DNP,60,20220812,170000,361.3,364.5,360.6,364.5,64210,0
DNP,60,20220816,100000,366.5,375.5,360.6,374.9,51314,0
DNP,60,20220816,110000,375,380.9,374.3,380.3,67850,0
DNP,60,20220816,120000,380.5,384.4,379.1,381.6,24326,0
DNP,60,20220816,130000,380.2,381.7,376.4,379.8,70204,0
DNP,60,20220816,140000,379.8,380,377,378.7,19343,0
DNP,60,20220816,150000,378.7,381.5,377.2,381.3,52615,0
DNP,60,20220816,160000,381.3,383.4,379.7,382.4,50934,0
DNP,60,20220816,170000,382,384,380.2,382,89505,0
DNP,60,20220817,100000,380.1,383,378,381.1,24702,0
DNP,60,20220817,110000,381.1,382.6,378.1,379.5,63489,0
DNP,60,20220817,120000,378.3,381,375.8,379,67241,0
DNP,60,20220817,130000,379,379.4,377.2,379.3,10841,0
DNP,60,20220817,140000,379.4,380.6,378.3,379.3,16840,0
DNP,60,20220817,150000,379.4,379.7,375.5,375.5,53469,0
DNP,60,20220817,160000,375.5,375.5,370.5,374.4,54172,0
DNP,60,20220817,170000,374,375.2,372.3,373.1,65493,0
DNP,60,20220818,100000,372.9,374.4,369,371.2,5361,0
DNP,60,20220818,110000,370.4,376.1,368.9,375.7,8054,0
DNP,60,20220818,120000,375.6,377,372.3,376.5,14382,0
DNP,60,20220818,130000,375.7,378,371.9,372.5,83903,0
DNP,60,20220818,140000,372,373.5,370.4,371.5,6612,0
DNP,60,20220818,150000,371.3,372,366.4,367.1,17001,0
DNP,60,20220818,160000,367.7,371.9,367.2,370.4,9325,0
DNP,60,20220818,170000,370.3,372.6,369.9,371,32304,0
DNP,60,20220819,100000,370,370,364.4,367,14937,0
DNP,60,20220819,110000,367,368,360.8,361.9,53690,0
DNP,60,20220819,120000,361.4,365.9,361.4,364.5,16277,0
DNP,60,20220819,130000,364,365.1,361.2,363.3,34504,0
DNP,60,20220819,140000,363.4,366.5,362.7,365.2,19822,0
DNP,60,20220819,150000,364.9,365.4,362.7,363,15364,0
DNP,60,20220819,160000,362.9,364,358.9,359.3,68579,0
DNP,60,20220819,170000,359.3,359.5,354,354,82359,0
DNP,60,20220822,100000,355,355.9,346.9,346.9,50441,0
DNP,60,20220822,110000,347,350,346.9,348,63296,0
DNP,60,20220822,120000,348.1,348.9,345.4,346.6,40103,0
DNP,60,20220822,130000,346.6,349.8,345.8,345.8,89705,0
DNP,60,20220822,140000,346,348.4,345,347.5,18934,0
DNP,60,20220822,150000,347.5,352,345.7,350.1,62807,0
DNP,60,20220822,160000,350,353.3,349.6,352.6,44165,0
DNP,60,20220822,170000,352.8,359,352.8,355.5,69829,0
DNP,60,20220823,100000,356,365,353.5,363.2,28656,0
DNP,60,20220823,110000,363.4,369.5,363.4,365.9,32337,0
DNP,60,20220823,120000,365.9,366.6,362.8,366.2,16067,0
DNP,60,20220823,130000,366.4,368.9,366.3,368.4,16592,0
DNP,60,20220823,140000,368.3,369.3,366.3,368.8,17647,0
DNP,60,20220823,150000,368.4,370,365.3,365.3,19099,0
DNP,60,20220823,160000,365.4,368.5,365.1,366.9,24760,0
DNP,60,20220823,170000,367,367.5,364.9,365.2,107234,0
DNP,60,20220824,100000,369.2,369.2,361.3,364.5,18434,0
DNP,60,20220824,110000,364.2,368.6,364.2,366,26864,0
DNP,60,20220824,120000,365.9,368.1,365.5,367.4,19877,0
DNP,60,20220824,130000,367.7,368.4,365.3,367.6,11272,0
DNP,60,20220824,140000,367.6,367.8,365.6,367.3,44153,0
DNP,60,20220824,150000,367.3,368.7,366.1,367.7,13949,0
DNP,60,20220824,160000,367.7,369.2,367,367.4,21376,0
DNP,60,20220824,170000,367.4,368.7,364.7,366.2,48054,0
DNP,60,20220825,100000,370,374.1,368.3,371.9,13999,0
DNP,60,20220825,110000,371.9,375.1,371.3,372.6,10108,0
DNP,60,20220825,120000,373,374,371.3,372.3,7765,0
DNP,60,20220825,130000,372.3,373.7,371,373.7,6797,0
DNP,60,20220825,140000,373.7,374.4,373.2,374,8227,0
DNP,60,20220825,150000,374,376.9,373.7,376.8,15538,0
DNP,60,20220825,160000,376.8,378,376.4,376.4,22308,0
DNP,60,20220825,170000,376.9,377.4,374.6,376.1,42766,0
DNP,60,20220826,100000,375.9,384.4,375.8,380.7,18811,0
DNP,60,20220826,110000,380.6,383.3,379.9,382.6,11019,0
DNP,60,20220826,120000,382.5,382.9,381.1,381.3,5520,0
DNP,60,20220826,130000,381.6,382.2,381.1,381.4,6251,0
DNP,60,20220826,140000,381.4,381.4,380.3,381,5130,0
DNP,60,20220826,150000,381.1,383.4,380.8,383.3,10487,0
DNP,60,20220826,160000,383.3,386.7,382.8,386.4,22968,0
DNP,60,20220826,170000,386.3,386.4,380,382.6,42665,0
DNP,60,20220829,100000,378,378,371.4,373.6,18292,0
DNP,60,20220829,110000,374.2,374.9,372.1,373.1,6369,0
DNP,60,20220829,120000,372.7,374,370.9,371.7,10161,0
DNP,60,20220829,130000,371.5,371.7,368.7,370.5,6591,0
DNP,60,20220829,140000,370.1,372.9,369.6,372.9,14340,0
DNP,60,20220829,150000,372.4,375.3,372.1,375.3,15659,0
DNP,60,20220829,160000,375.1,378.6,375,376.3,18704,0
DNP,60,20220829,170000,376,377.7,374,374.3,20010,0
DNP,60,20220830,100000,374,374.3,366.4,366.5,16573,0
DNP,60,20220830,110000,366.4,368.1,365.1,366.3,9288,0
DNP,60,20220830,120000,366.3,366.3,362.1,363.5,13152,0
DNP,60,20220830,130000,363.6,365.7,362.4,365.6,13329,0
DNP,60,20220830,140000,365.6,365.6,362,362.2,13765,0
DNP,60,20220830,150000,362.3,362.8,360.1,360.3,15785,0
DNP,60,20220830,160000,360.5,363.5,358.8,362.3,17270,0
DNP,60,20220830,170000,362.2,363.9,358.9,359.4,46025,0
DNP,60,20220831,100000,357.1,358,348,348.3,25156,0
DNP,60,20220831,110000,348,350.6,343.5,348.3,40578,0
DNP,60,20220831,120000,348.3,351.5,348.1,349.6,21253,0
DNP,60,20220831,130000,349.8,351.5,348.2,349.5,12301,0
DNP,60,20220831,140000,349.2,349.9,347.1,347.8,15144,0
DNP,60,20220831,150000,347.1,349.7,346.8,349.2,15638,0
DNP,60,20220831,160000,349.2,349.4,346.1,346.5,26297,0
DNP,60,20220831,170000,346.6,347.8,343.7,343.7,205043,0
DNP,60,20220901,100000,340,345.6,335,345,33438,0
DNP,60,20220901,110000,345.5,345.5,338.1,340.4,14101,0
DNP,60,20220901,120000,340.4,343.2,339.2,340,30034,0
DNP,60,20220901,130000,340,341,338.7,340.4,18660,0
DNP,60,20220901,140000,340.3,341,339.3,340.8,17266,0
DNP,60,20220901,150000,340.8,341.2,335.2,335.3,25950,0
DNP,60,20220901,160000,335.3,342.9,328.5,342.1,98186,0
DNP,60,20220901,170000,342.4,342.9,333.4,335.5,68466,0
DNP,60,20220902,100000,337.1,337.1,328,333.2,32214,0
DNP,60,20220902,110000,332.9,340.8,332.6,340,56955,0
DNP,60,20220902,120000,339.4,341.8,338.5,341.6,17168,0
DNP,60,20220902,130000,341.6,342.3,339.7,340.7,11960,0
DNP,60,20220902,140000,340.6,342.3,340,341.8,8045,0
DNP,60,20220902,150000,341.8,343.5,341,342.7,13549,0
DNP,60,20220902,160000,342.7,342.7,340.2,340.2,19642,0
DNP,60,20220902,170000,340,343,339.7,342.8,32893,0
DNP,60,20220905,100000,340.8,342.5,335.3,336.3,12107,0
DNP,60,20220905,110000,336.7,338.5,335.8,336.3,10079,0
DNP,60,20220905,120000,336.6,339.3,336.6,338.9,6324,0
DNP,60,20220905,130000,338.6,341.2,338,340.7,20876,0
DNP,60,20220905,140000,340.7,340.8,337.2,339.5,9596,0
DNP,60,20220905,150000,339.8,341.5,339.5,340.5,4308,0
DNP,60,20220905,160000,340.9,341.5,338.4,339.5,10902,0
DNP,60,20220905,170000,339.5,340.9,338.3,339.3,26531,0
DNP,60,20220906,100000,339.3,339.3,334.7,335.2,9037,0
DNP,60,20220906,110000,335.2,337.2,334.4,336.8,9558,0
DNP,60,20220906,120000,337,338.5,335.3,338.2,7267,0
DNP,60,20220906,130000,338,338,336.3,336.6,7191,0
DNP,60,20220906,140000,336.5,336.8,335,336,6033,0
DNP,60,20220906,150000,336,336.1,333.6,335.4,8092,0
DNP,60,20220906,160000,335.4,340.5,335.2,336,25223,0
DNP,60,20220906,170000,336,336.4,327,329.7,70058,0
DNP,60,20220907,100000,325,334,322,330.5,14134,0
DNP,60,20220907,110000,330,341.2,330,340,18141,0
DNP,60,20220907,120000,340,340,336.2,338.6,7054,0
DNP,60,20220907,130000,338.6,340.3,336.6,339.6,14679,0
DNP,60,20220907,140000,339.2,341.6,338.6,341.6,8903,0
DNP,60,20220907,150000,341.6,342.1,337.7,338.6,13042,0
DNP,60,20220907,160000,338.5,342.5,338.5,340,17269,0
DNP,60,20220907,170000,338.9,340.5,337.2,340.5,38732,0
DNP,60,20220908,100000,339.3,341.5,337.6,339.7,6763,0
DNP,60,20220908,110000,340.2,341.5,338.7,340.5,4534,0
DNP,60,20220908,120000,340.9,340.9,339.1,340,9574,0
DNP,60,20220908,130000,340,340,338.1,338.7,4112,0
DNP,60,20220908,140000,338.7,341.3,338.3,339.3,5533,0
DNP,60,20220908,150000,339.8,340,337.1,337.1,12539,0
DNP,60,20220908,160000,337.1,339.9,337.1,338.4,17242,0
DNP,60,20220908,170000,338.4,341,337.9,339,29605,0
DNP,60,20220909,100000,342.8,342.8,329.5,331.4,30684,0
DNP,60,20220909,110000,331.4,337.1,331.4,335.8,33681,0
DNP,60,20220909,120000,335.6,339.4,335.4,337.2,63250,0
DNP,60,20220909,130000,337.4,338,335,335.9,66421,0
DNP,60,20220909,140000,335.3,336.1,334.7,335.8,9096,0
DNP,60,20220909,150000,335.6,342.4,335.5,339.2,9848,0
DNP,60,20220909,160000,339.5,341.2,337.9,339.7,21213,0
DNP,60,20220909,170000,339.8,345.5,339.5,345.1,45462,0
DNP,60,20220912,100000,343,347.9,342.4,342.8,23168,0
DNP,60,20220912,110000,342.8,347.6,342.4,342.5,22687,0
DNP,60,20220912,120000,342.5,343.9,339.5,341.9,22900,0
DNP,60,20220912,130000,341.9,347.2,341.8,344.7,12537,0
DNP,60,20220912,140000,344.7,346.6,343.1,345.8,13661,0
DNP,60,20220912,150000,345.8,345.8,343.2,345,19875,0
DNP,60,20220912,160000,345,351.4,344.9,350.8,16525,0
DNP,60,20220912,170000,351.1,353.1,348.4,351.9,62853,0
DNP,60,20220913,100000,352,352.4,349,350.5,8190,0
DNP,60,20220913,110000,350.4,351.1,348,348.5,6264,0
DNP,60,20220913,120000,348.1,349.8,348,349.2,7748,0
DNP,60,20220913,130000,349,350.9,348.7,350.9,3570,0
DNP,60,20220913,140000,350.6,351,348.1,349.9,6877,0
DNP,60,20220913,150000,349.8,350.5,341.9,343.3,14940,0
DNP,60,20220913,160000,343.3,344.9,341.6,342.7,15508,0
DNP,60,20220913,170000,342.7,345.1,340.3,342.2,34324,0
DNP,60,20220914,100000,342.6,346.3,340.5,344.4,15348,0
DNP,60,20220914,110000,345,348.4,344.5,346.2,16603,0
DNP,60,20220914,120000,345.6,348.4,341,341,13724,0
DNP,60,20220914,130000,341.8,346.1,340.6,343.2,13373,0
DNP,60,20220914,140000,343.1,343.1,340.5,341.8,16815,0
DNP,60,20220914,150000,342,344,341.1,342.4,16983,0
DNP,60,20220914,160000,341.9,347.2,341.9,343.5,21273,0
DNP,60,20220914,170000,343.6,346.4,340.6,344.2,70257,0
DNP,60,20220915,100000,342,344.6,339,341.8,14733,0
DNP,60,20220915,110000,342.5,346.5,341.5,343.9,21372,0
DNP,60,20220915,120000,343.9,347.1,343,346.5,17157,0
DNP,60,20220915,130000,346.6,350.9,346.6,349.9,14365,0
DNP,60,20220915,140000,350.3,352.6,349.4,351.7,14502,0
DNP,60,20220915,150000,351.8,352.8,349.9,352.4,25840,0
DNP,60,20220915,160000,352.5,356,352.1,354.6,37120,0
DNP,60,20220915,170000,354.8,357.6,351.6,351.6,87501,0
DNP,60,20220916,100000,348.2,356,347,355,28376,0
DNP,60,20220916,110000,354.9,356.7,352,356.4,17860,0
DNP,60,20220916,120000,356.5,360.5,356,359.1,28541,0
DNP,60,20220916,130000,359.1,359.4,356,356.9,23663,0
DNP,60,20220916,140000,356.9,357.4,353.7,356,26831,0
DNP,60,20220916,150000,356,357.2,352,352.4,24745,0
DNP,60,20220916,160000,352.5,355.5,347.6,349,55368,0
DNP,60,20220916,170000,349.6,352.6,348.6,350.3,463822,0
DNP,60,20220919,100000,348.2,350,341.8,346.1,12853,0
DNP,60,20220919,110000,346.1,348.6,340.1,342,16174,0
DNP,60,20220919,120000,342,342.8,341.1,342.4,1622,0
DNP,60,20220919,130000,342.3,343.6,340.8,341.3,2712,0
