<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW,60,20220804,100000,36.36,36.4,36.06,36.06,8772,0
GPW,60,20220804,110000,36.04,36.1,36.02,36.04,3428,0
GPW,60,20220804,120000,36.06,36.06,35.72,35.8,7469,0
GPW,60,20220804,130000,35.8,35.88,35.7,35.8,4850,0
GPW,60,20220804,140000,35.8,35.88,35.8,35.86,3417,0
GPW,60,20220804,150000,35.86,35.86,35.82,35.86,2871,0
GPW,60,20220804,160000,35.86,35.86,35.74,35.84,10687,0
GPW,60,20220804,170000,35.82,35.98,35.8,35.96,11315,0
GPW,60,20220805,100000,36,36.4,36,36.3,9366,0
GPW,60,20220805,110000,36.3,36.38,36.24,36.3,8842,0
GPW,60,20220805,120000,36.28,36.4,36.24,36.4,13336,0
GPW,60,20220805,130000,36.4,36.42,36.3,36.42,7021,0
GPW,60,20220805,140000,36.38,36.52,36.38,36.5,7171,0
GPW,60,20220805,150000,36.46,36.54,36.2,36.2,7675,0
GPW,60,20220805,160000,36.26,36.46,36.18,36.22,10532,0
GPW,60,20220805,170000,36.26,36.4,36.24,36.4,6490,0
GPW,60,20220808,100000,36.4,36.68,36.4,36.58,14776,0
GPW,60,20220808,110000,36.5,36.58,36.46,36.58,6981,0
GPW,60,20220808,120000,36.56,36.82,36.56,36.76,10561,0
GPW,60,20220808,130000,36.68,36.76,36.66,36.74,5406,0
GPW,60,20220808,140000,36.74,36.78,36.7,36.74,4440,0
GPW,60,20220808,150000,36.76,36.94,36.72,36.86,9914,0
GPW,60,20220808,160000,36.84,36.98,36.72,36.96,16719,0
GPW,60,20220808,170000,36.96,37.18,36.9,37.18,23532,0
GPW,60,20220809,100000,37.22,37.4,37.02,37.08,14213,0
GPW,60,20220809,110000,37.08,37.18,36.94,37.1,7062,0
GPW,60,20220809,120000,37.18,37.26,37,37.24,13096,0
GPW,60,20220809,130000,37.18,37.24,37.12,37.24,4537,0
GPW,60,20220809,140000,37.16,37.3,37.12,37.2,4767,0
GPW,60,20220809,150000,37.26,37.34,37.14,37.22,6901,0
GPW,60,20220809,160000,37.22,37.34,37.18,37.3,12345,0
GPW,60,20220809,170000,37.3,37.34,37.26,37.34,13280,0
GPW,60,20220810,100000,37.32,37.32,36.96,36.96,8393,0
GPW,60,20220810,110000,36.98,36.98,36.6,36.66,8198,0
GPW,60,20220810,120000,36.64,36.64,36.54,36.54,4293,0
GPW,60,20220810,130000,36.54,36.54,36.32,36.4,2835,0
GPW,60,20220810,140000,36.4,36.4,36.12,36.26,8201,0
GPW,60,20220810,150000,36.24,36.78,36.22,36.74,10530,0
GPW,60,20220810,160000,36.68,36.78,36.56,36.78,6271,0
GPW,60,20220810,170000,36.8,36.82,36.7,36.7,16173,0
GPW,60,20220811,100000,36.84,36.9,36.64,36.72,17066,0
GPW,60,20220811,110000,36.72,36.78,36.64,36.72,3389,0
GPW,60,20220811,120000,36.72,36.72,36.66,36.72,1883,0
GPW,60,20220811,130000,36.7,36.72,36.64,36.72,549,0
GPW,60,20220811,140000,36.72,36.88,36.7,36.88,1289,0
GPW,60,20220811,150000,36.86,37.02,36.74,36.88,5156,0
GPW,60,20220811,160000,36.88,36.88,36.74,36.78,1994,0
GPW,60,20220811,170000,36.78,36.8,36.4,36.4,5970,0
GPW,60,20220812,100000,36.4,36.7,36.36,36.7,4661,0
