<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JSW,60,20220804,100000,49,49,48.15,48.55,32276,0
JSW,60,20220804,110000,48.43,48.58,48.25,48.33,19588,0
JSW,60,20220804,120000,48.33,48.47,48.01,48.28,26163,0
JSW,60,20220804,130000,48.28,48.89,48.22,48.66,24893,0
JSW,60,20220804,140000,48.66,48.66,48.15,48.15,15100,0
JSW,60,20220804,150000,48.2,48.29,47.55,47.55,88975,0
JSW,60,20220804,160000,47.52,47.64,46.85,47.1,169900,0
JSW,60,20220804,170000,47.1,47.28,46.76,46.76,164638,0
JSW,60,20220805,100000,46.9,47.98,46.84,47.87,62591,0
JSW,60,20220805,110000,47.87,47.89,46.83,47,46568,0
JSW,60,20220805,120000,46.88,46.94,46.27,46.68,49326,0
JSW,60,20220805,130000,46.6,46.65,45.3,45.51,63432,0
JSW,60,20220805,140000,45.5,45.7,44.69,45.49,119562,0
JSW,60,20220805,150000,45.42,45.5,45,45.19,36802,0
JSW,60,20220805,160000,45.15,46.65,45.11,46.6,65056,0
JSW,60,20220805,170000,46.58,48,46.55,47.76,90077,0
JSW,60,20220808,100000,48,48.48,47.6,48.01,43673,0
JSW,60,20220808,110000,48.09,48.09,47.29,47.35,29998,0
JSW,60,20220808,120000,47.45,48,47.26,47.99,14972,0
JSW,60,20220808,130000,48,48.37,47.85,48.03,24490,0
JSW,60,20220808,140000,48.03,48.39,47.98,48.35,30830,0
JSW,60,20220808,150000,48.36,49.13,48.29,49.1,88498,0
JSW,60,20220808,160000,49.12,49.12,48.67,48.86,15959,0
JSW,60,20220808,170000,48.8,49.38,48.58,49.38,64676,0
JSW,60,20220809,100000,49.4,49.4,48.67,48.86,47056,0
JSW,60,20220809,110000,48.86,49.57,48.85,49.5,37743,0
JSW,60,20220809,120000,49.57,49.78,49.2,49.21,42893,0
JSW,60,20220809,130000,49.21,49.25,48.41,48.48,36844,0
JSW,60,20220809,140000,48.52,48.62,48.02,48.05,44401,0
JSW,60,20220809,150000,48.11,48.39,47.92,47.92,34147,0
JSW,60,20220809,160000,47.96,48.39,47.68,48.23,47880,0
JSW,60,20220809,170000,48.25,48.48,47.98,48.2,65451,0
JSW,60,20220810,100000,48.19,48.7,47.82,47.93,92437,0
JSW,60,20220810,110000,47.95,48.46,47.86,48.22,19721,0
JSW,60,20220810,120000,48.21,48.3,47.94,47.96,13248,0
JSW,60,20220810,130000,47.96,47.96,47.7,47.86,27948,0
JSW,60,20220810,140000,47.88,47.98,47.79,47.86,10252,0
JSW,60,20220810,150000,47.98,49.55,47.75,48.9,135469,0
JSW,60,20220810,160000,48.99,49.05,48.37,48.6,45055,0
JSW,60,20220810,170000,48.7,48.87,48.18,48.7,63529,0
JSW,60,20220811,100000,49.44,49.44,48.61,48.9,48609,0
JSW,60,20220811,110000,48.92,49.14,48.8,49.14,23643,0
JSW,60,20220811,120000,49.14,49.19,48.8,48.82,20270,0
JSW,60,20220811,130000,48.9,48.9,48.55,48.68,15667,0
JSW,60,20220811,140000,48.66,48.84,48.61,48.82,10077,0
JSW,60,20220811,150000,48.83,49,48.65,48.8,13989,0
JSW,60,20220811,160000,48.67,48.89,48.33,48.89,28746,0
JSW,60,20220811,170000,48.8,48.98,48.64,48.72,27096,0
JSW,60,20220812,100000,48.91,50.8,48.9,50.76,180470,0
JSW,60,20220812,110000,50.82,51.64,50.7,50.82,256581,0
JSW,60,20220812,120000,50.9,51.42,50.8,51.42,55162,0
