<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH,60,20220804,100000,110,110.55,108.35,109.15,44935,0
KGH,60,20220804,110000,108.95,109.65,108.9,109.65,23549,0
KGH,60,20220804,120000,109.65,110.4,109.65,110,20130,0
KGH,60,20220804,130000,110,111.75,109.6,111.2,39183,0
KGH,60,20220804,140000,111,111.35,110.2,110.2,19646,0
KGH,60,20220804,150000,110.25,110.55,109.5,109.7,20042,0
KGH,60,20220804,160000,109.6,109.6,108.65,109.2,58313,0
KGH,60,20220804,170000,109.2,110.25,108.6,109.5,129386,0
KGH,60,20220805,100000,111.5,111.9,110.15,110.75,43314,0
KGH,60,20220805,110000,110.75,110.9,108.8,109,39888,0
KGH,60,20220805,120000,109,109.05,108.1,108.4,25351,0
KGH,60,20220805,130000,108.4,108.4,107.4,107.5,22427,0
KGH,60,20220805,140000,107.5,108.6,107.4,108.3,26737,0
KGH,60,20220805,150000,108.3,109.2,106.6,106.9,45345,0
KGH,60,20220805,160000,106.9,107.4,106.25,107.4,37037,0
KGH,60,20220805,170000,107.4,109.35,107.4,109,142640,0
KGH,60,20220808,100000,110.15,111.55,109.6,110.65,40117,0
KGH,60,20220808,110000,110.95,110.95,109.7,110.05,15228,0
KGH,60,20220808,120000,110.15,111.5,110.15,111.35,19756,0
KGH,60,20220808,130000,111.3,112,111.3,111.6,35529,0
KGH,60,20220808,140000,111.6,112,111.25,111.95,27100,0
KGH,60,20220808,150000,111.9,114.3,111.55,114.25,64779,0
KGH,60,20220808,160000,114.35,114.55,113.8,114.4,44745,0
KGH,60,20220808,170000,114.4,115,113.55,115,137273,0
KGH,60,20220809,100000,114.75,114.8,113.1,113.65,44318,0
KGH,60,20220809,110000,113.55,114.55,113.45,114.45,18017,0
KGH,60,20220809,120000,114.45,114.9,114.35,114.6,25147,0
KGH,60,20220809,130000,114.45,114.6,112.95,113.25,21202,0
KGH,60,20220809,140000,113.25,113.55,112.3,112.8,26413,0
KGH,60,20220809,150000,112.7,113.5,112.6,112.9,22011,0
KGH,60,20220809,160000,112.85,113.95,112.45,113.6,26627,0
KGH,60,20220809,170000,113.4,113.8,113.2,113.45,63909,0
KGH,60,20220810,100000,112,112.3,111.2,111.75,33300,0
KGH,60,20220810,110000,111.7,111.9,110.6,111.85,27779,0
KGH,60,20220810,120000,111.7,111.8,111.4,111.55,8948,0
