<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU,60,20220804,100000,259,261.4,259,260.4,406,0
KRU,60,20220804,110000,260,262.4,260,261,254,0
KRU,60,20220804,120000,261,262.4,260.8,260.8,91,0
KRU,60,20220804,130000,260.4,263.4,260,262.4,258,0
KRU,60,20220804,140000,263.8,264.6,263.2,264,486,0
KRU,60,20220804,150000,264.2,265,263.4,264.6,1060,0
KRU,60,20220804,160000,264.2,264.2,262,262,1031,0
KRU,60,20220804,170000,262,262,257.8,258.4,2808,0
KRU,60,20220805,100000,260,264.8,260,264.4,803,0
KRU,60,20220805,110000,264,264.2,263,263,558,0
KRU,60,20220805,120000,262.6,262.6,262,262.2,377,0
KRU,60,20220805,130000,262.2,262.2,261,261,411,0
KRU,60,20220805,140000,261,263.4,261,263.4,334,0
KRU,60,20220805,150000,263.4,263.8,261.2,261.4,1330,0
KRU,60,20220805,160000,261.4,262.8,261.4,261.4,400,0
KRU,60,20220805,170000,262.2,265,262,263.8,2416,0
KRU,60,20220808,100000,265,269.2,265,268.8,424,0
KRU,60,20220808,110000,267.6,267.6,262,263.4,722,0
KRU,60,20220808,120000,264.2,267.2,263.4,266.2,154,0
KRU,60,20220808,130000,266,266.8,265.4,266.8,241,0
KRU,60,20220808,140000,266,267,265.2,266.8,497,0
KRU,60,20220808,150000,266.8,266.8,265.8,265.8,76,0
KRU,60,20220808,160000,265.6,265.6,264.6,265,159,0
KRU,60,20220808,170000,265,267.2,264,266,1843,0
KRU,60,20220809,100000,268.4,268.6,263.6,263.6,308,0
KRU,60,20220809,110000,263.4,264.6,263.4,264.6,12,0
KRU,60,20220809,120000,265.2,267.6,265.2,267.6,82,0
KRU,60,20220809,130000,267.4,267.4,263.6,263.6,271,0
KRU,60,20220809,140000,263.6,264,258.2,261,2101,0
KRU,60,20220809,150000,261,261,259.4,261,242,0
KRU,60,20220809,160000,260.2,260.2,259.6,260,124,0
KRU,60,20220809,170000,259,259,258.6,258.8,1331,0
KRU,60,20220810,100000,256,265.6,255.2,255.2,263,0
KRU,60,20220810,110000,256,259.8,256,259.8,352,0
KRU,60,20220810,120000,259.6,261,259.6,260.6,246,0
KRU,60,20220810,130000,258.4,258.8,257,257,416,0
KRU,60,20220810,140000,256.8,256.8,255,255.6,3973,0
KRU,60,20220810,150000,254.6,260.8,254,259,1337,0
KRU,60,20220810,160000,259.8,260.6,259,259.2,350,0
KRU,60,20220810,170000,260.4,263.8,259.2,259.8,2837,0
KRU,60,20220811,100000,260.2,265.4,260.2,263.4,554,0
KRU,60,20220811,110000,265,269,264.6,266.8,1800,0
KRU,60,20220811,120000,266.8,268.2,265.4,267.6,1347,0
KRU,60,20220811,130000,267.6,269.8,267.6,269,1435,0
KRU,60,20220811,140000,269,272,268.4,272,1491,0
KRU,60,20220811,150000,271,282.6,270,276.4,3021,0
KRU,60,20220811,160000,276.4,279,276.4,279,1340,0
KRU,60,20220811,170000,278,279.4,275.8,278.6,4480,0
KRU,60,20220812,100000,278.8,279,275,278.8,949,0
KRU,60,20220812,110000,278.8,280.6,278,280,1377,0
KRU,60,20220812,120000,280.8,284,280.2,282.4,1641,0
KRU,60,20220812,130000,282.4,285,281,281,1229,0
KRU,60,20220812,140000,280.6,283.2,278.6,283.2,467,0
KRU,60,20220812,150000,280.8,280.8,278.6,278.6,43,0
KRU,60,20220812,160000,279.8,284.4,277.6,281.6,1124,0
KRU,60,20220812,170000,283,283.4,281,281.2,2809,0
KRU,60,20220816,100000,285,286.6,280.6,283.2,4367,0
KRU,60,20220816,110000,286.2,287,284.2,286.6,2282,0
