<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTY,60,20220804,100000,530,532,525,527,1024,0
KTY,60,20220804,110000,527,532,526,528,1083,0
KTY,60,20220804,120000,529,531,526,528,10707,0
KTY,60,20220804,130000,529,543,527,543,2877,0
KTY,60,20220804,140000,543,544,538,541,1337,0
KTY,60,20220804,150000,541,547,535,547,2817,0
KTY,60,20220804,160000,547,549,543,547,6241,0
KTY,60,20220804,170000,547,553,536,544,8954,0
KTY,60,20220805,100000,544,544,539,542,517,0
KTY,60,20220805,110000,540,542,538,540,1100,0
KTY,60,20220805,120000,540,540,531,533,1840,0
KTY,60,20220805,130000,533,534,531,532,1114,0
KTY,60,20220805,140000,531,533,531,533,16646,0
KTY,60,20220805,150000,532,535,521,524,4988,0
KTY,60,20220805,160000,522,530,521,528,7331,0
KTY,60,20220805,170000,525,529,525,527,3561,0
KTY,60,20220808,100000,531,533,526,530,593,0
KTY,60,20220808,110000,531,531,526,529,702,0
KTY,60,20220808,120000,529,530,528,529,447,0
KTY,60,20220808,130000,529,533,529,530,315,0
KTY,60,20220808,140000,530,533,530,533,370,0
KTY,60,20220808,150000,533,534,531,532,2405,0
KTY,60,20220808,160000,533,534,531,532,311,0
KTY,60,20220808,170000,531,534,530,534,2282,0
KTY,60,20220809,100000,534,534,532,533,399,0
KTY,60,20220809,110000,532,539,532,537,2108,0
KTY,60,20220809,120000,538,538,533,536,323,0
KTY,60,20220809,130000,537,538,532,538,1572,0
KTY,60,20220809,140000,538,540,535,535,787,0
KTY,60,20220809,150000,535,538,535,537,462,0
KTY,60,20220809,160000,537,540,537,540,870,0
KTY,60,20220809,170000,541,545,539,543,2421,0
KTY,60,20220810,100000,546,546,532,537,716,0
KTY,60,20220810,110000,537,537,527,533,885,0
KTY,60,20220810,120000,531,532,529,530,337,0
KTY,60,20220810,130000,530,532,529,530,240,0
KTY,60,20220810,140000,530,535,529,533,623,0
KTY,60,20220810,150000,534,542,533,540,3631,0
KTY,60,20220810,160000,540,547,538,543,3338,0
KTY,60,20220810,170000,543,547,542,545,779,0
KTY,60,20220811,100000,548,548,538,540,591,0
KTY,60,20220811,110000,542,546,539,544,1286,0
KTY,60,20220811,120000,545,548,543,547,10934,0
KTY,60,20220811,130000,549,549,546,548,526,0
KTY,60,20220811,140000,548,548,545,545,3,0
KTY,60,20220811,150000,548,549,546,546,182,0
KTY,60,20220811,160000,549,555,547,552,4600,0
KTY,60,20220811,170000,553,559,552,559,2476,0
KTY,60,20220812,100000,550,566,550,565,1651,0
KTY,60,20220812,110000,565,572,562,568,2606,0
KTY,60,20220812,120000,568,575,568,572,1994,0
KTY,60,20220812,130000,574,574,567,571,2899,0
KTY,60,20220812,140000,569,569,564,567,623,0
KTY,60,20220812,150000,567,568,565,567,439,0
KTY,60,20220812,160000,567,574,566,571,3539,0
KTY,60,20220812,170000,572,575,571,573,1636,0
KTY,60,20220816,100000,573,575,570,572,1073,0
KTY,60,20220816,110000,571,575,571,574,3072,0
KTY,60,20220816,120000,574,574,572,572,542,0
KTY,60,20220816,130000,573,574,569,571,1094,0
KTY,60,20220816,140000,570,572,567,570,898,0
KTY,60,20220816,150000,570,570,567,569,383,0
KTY,60,20220816,160000,569,572,562,572,2047,0
KTY,60,20220816,170000,572,575,570,571,2764,0
KTY,60,20220817,100000,577,588,575,577,4769,0
KTY,60,20220817,110000,576,580,570,574,1859,0
KTY,60,20220817,120000,573,575,568,571,1829,0
KTY,60,20220817,130000,570,574,570,574,756,0
KTY,60,20220817,140000,572,574,568,571,6943,0
KTY,60,20220817,150000,569,572,565,569,1795,0
KTY,60,20220817,160000,570,570,568,568,494,0
KTY,60,20220817,170000,568,569,565,568,1202,0
KTY,60,20220818,100000,568,570,564,567,463,0
KTY,60,20220818,110000,567,568,565,566,144,0
KTY,60,20220818,120000,566,569,565,569,1004,0
KTY,60,20220818,130000,569,572,567,572,5199,0
KTY,60,20220818,140000,573,581,573,579,2049,0
KTY,60,20220818,150000,578,578,571,574,437,0
KTY,60,20220818,160000,574,574,570,570,765,0
