<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPP,60,20220804,100000,9320,9550,9320,9400,50,0
LPP,60,20220804,110000,9395,9395,9300,9340,116,0
LPP,60,20220804,120000,9370,9370,9310,9310,56,0
LPP,60,20220804,130000,9330,9470,9310,9415,159,0
LPP,60,20220804,140000,9410,9495,9380,9380,138,0
LPP,60,20220804,150000,9400,9425,9385,9390,112,0
LPP,60,20220804,160000,9385,9385,9210,9210,190,0
LPP,60,20220804,170000,9260,9275,9020,9165,649,0
LPP,60,20220805,100000,9175,9320,9175,9260,97,0
LPP,60,20220805,110000,9295,9320,9250,9295,61,0
LPP,60,20220805,120000,9310,9315,9255,9270,21,0
LPP,60,20220805,130000,9305,9310,9270,9270,14,0
LPP,60,20220805,140000,9280,9310,9265,9305,74,0
LPP,60,20220805,150000,9280,9290,8925,8925,295,0
LPP,60,20220805,160000,8960,9025,8915,8930,264,0
LPP,60,20220805,170000,8930,9010,8910,8910,518,0
LPP,60,20220808,100000,9010,9265,9010,9175,163,0
LPP,60,20220808,110000,9170,9200,9120,9195,67,0
LPP,60,20220808,120000,9195,9200,9125,9160,165,0
LPP,60,20220808,130000,9195,9315,9185,9315,204,0
LPP,60,20220808,140000,9310,9405,9290,9400,151,0
LPP,60,20220808,150000,9400,9400,9315,9350,204,0
LPP,60,20220808,160000,9350,9360,9310,9355,76,0
LPP,60,20220808,170000,9355,9370,9315,9330,337,0
LPP,60,20220809,100000,9375,9405,9305,9305,46,0
LPP,60,20220809,110000,9305,9400,9305,9400,41,0
LPP,60,20220809,120000,9400,9400,9330,9330,13,0
LPP,60,20220809,130000,9310,9310,9105,9105,80,0
LPP,60,20220809,140000,9110,9170,9040,9040,95,0
LPP,60,20220809,150000,9050,9100,9040,9085,72,0
LPP,60,20220809,160000,9060,9150,9025,9150,207,0
LPP,60,20220809,170000,9140,9210,9105,9105,379,0
LPP,60,20220810,100000,9110,9175,8970,8975,143,0
LPP,60,20220810,110000,8975,9045,8950,9045,99,0
LPP,60,20220810,120000,9035,9060,9020,9040,34,0
LPP,60,20220810,130000,9035,9075,9000,9060,83,0
LPP,60,20220810,140000,9035,9125,9030,9125,50,0
LPP,60,20220810,150000,9105,9425,9100,9375,284,0
LPP,60,20220810,160000,9375,9400,9200,9250,499,0
LPP,60,20220810,170000,9255,9400,9235,9340,386,0
LPP,60,20220811,100000,9345,9380,9310,9310,28,0
LPP,60,20220811,110000,9300,9340,9275,9340,24,0
LPP,60,20220811,120000,9285,9320,9285,9320,3,0
LPP,60,20220811,130000,9340,9380,9330,9350,26,0
LPP,60,20220811,140000,9350,9355,9315,9315,11,0
LPP,60,20220811,150000,9350,9360,9320,9320,23,0
LPP,60,20220811,160000,9340,9430,9315,9395,292,0
LPP,60,20220811,170000,9390,9415,9330,9380,586,0
LPP,60,20220812,100000,9400,9550,9360,9495,183,0
LPP,60,20220812,110000,9500,9520,9390,9425,141,0
LPP,60,20220812,120000,9420,9455,9420,9445,574,0
LPP,60,20220812,130000,9445,9450,9425,9450,538,0
LPP,60,20220812,140000,9450,9450,9425,9445,37,0
LPP,60,20220812,150000,9445,9460,9410,9450,104,0
LPP,60,20220812,160000,9450,9450,9400,9450,102,0
LPP,60,20220812,170000,9450,9530,9390,9530,424,0
LPP,60,20220816,100000,9530,9635,9485,9635,102,0
LPP,60,20220816,110000,9605,9740,9605,9685,476,0
LPP,60,20220816,120000,9695,9850,9650,9850,590,0
LPP,60,20220816,130000,9850,9850,9790,9830,320,0
LPP,60,20220816,140000,9835,9850,9820,9850,227,0
LPP,60,20220816,150000,9825,9850,9755,9800,171,0
LPP,60,20220816,160000,9800,9845,9730,9815,172,0
LPP,60,20220816,170000,9830,9830,9700,9735,540,0
LPP,60,20220817,100000,9795,9795,9600,9640,73,0
LPP,60,20220817,110000,9640,9675,9540,9580,115,0
LPP,60,20220817,120000,9580,9595,9370,9400,269,0
LPP,60,20220817,130000,9405,9460,9405,9410,26,0
LPP,60,20220817,140000,9410,9490,9400,9490,202,0
LPP,60,20220817,150000,9495,9525,9420,9470,82,0
LPP,60,20220817,160000,9465,9510,9450,9495,186,0
LPP,60,20220817,170000,9510,9510,9310,9320,400,0
LPP,60,20220818,100000,9320,9570,9320,9570,29,0
LPP,60,20220818,110000,9585,9590,9530,9580,32,0
LPP,60,20220818,120000,9575,9630,9550,9550,70,0
LPP,60,20220818,130000,9565,9585,9355,9395,99,0
LPP,60,20220818,140000,9400,9545,9390,9545,39,0
LPP,60,20220818,150000,9550,9570,9425,9485,96,0
LPP,60,20220818,160000,9480,9575,9480,9530,89,0
LPP,60,20220818,170000,9490,9610,9455,9605,421,0
LPP,60,20220819,100000,9440,9495,9415,9420,41,0
LPP,60,20220819,110000,9455,9780,9455,9675,168,0
LPP,60,20220819,120000,9755,9865,9740,9845,215,0
LPP,60,20220819,130000,9800,9890,9760,9830,196,0
LPP,60,20220819,140000,9805,9875,9755,9820,165,0
LPP,60,20220819,150000,9820,9875,9765,9825,181,0
LPP,60,20220819,160000,9830,9880,9575,9630,202,0
LPP,60,20220819,170000,9625,9795,9605,9680,382,0
LPP,60,20220822,100000,9440,9620,9425,9605,64,0
LPP,60,20220822,110000,9555,9600,9525,9545,34,0
LPP,60,20220822,120000,9545,9560,9470,9560,100,0
