<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBK,60,20220804,100000,214.4,217.6,214,214,1954,0
MBK,60,20220804,110000,213.8,216.4,211.6,214.2,3560,0
MBK,60,20220804,120000,214.2,217,213.6,216.4,1997,0
MBK,60,20220804,130000,215.4,220,215.4,219,1843,0
MBK,60,20220804,140000,219.6,219.6,216.8,217,2239,0
MBK,60,20220804,150000,217.4,219.6,217,217.4,2440,0
MBK,60,20220804,160000,217.2,219.6,215.8,218.2,4693,0
MBK,60,20220804,170000,218.2,218.8,215.4,216,8704,0
MBK,60,20220805,100000,215,220.6,214,220,3086,0
MBK,60,20220805,110000,220.8,221,217.2,218,2217,0
MBK,60,20220805,120000,218.6,219.2,217.4,218.2,3883,0
MBK,60,20220805,130000,218,218.6,216.2,218.6,4510,0
MBK,60,20220805,140000,218.2,219,217.6,218.4,2132,0
MBK,60,20220805,150000,218,218.4,215.2,215.8,7947,0
MBK,60,20220805,160000,215.6,216.2,213.2,216,7980,0
MBK,60,20220805,170000,216.2,218.8,216.2,217.8,14568,0
MBK,60,20220808,100000,218,221.8,218,218,2208,0
MBK,60,20220808,110000,217.8,217.8,214.8,215.4,1615,0
MBK,60,20220808,120000,216.2,220,216.2,219.8,878,0
MBK,60,20220808,130000,219,220.4,218,220,1684,0
MBK,60,20220808,140000,220.6,223.6,220,223,2833,0
MBK,60,20220808,150000,222.2,229.6,221.8,228.2,8646,0
MBK,60,20220808,160000,227.4,228.2,224.6,225.8,4237,0
MBK,60,20220808,170000,225,235,224.6,234.8,22746,0
MBK,60,20220809,100000,234.8,236.8,232.4,234.6,10837,0
MBK,60,20220809,110000,234.6,237,232,236.6,8097,0
MBK,60,20220809,120000,236.8,245.2,236.8,243,15156,0
MBK,60,20220809,130000,242.6,244,240,241,9679,0
MBK,60,20220809,140000,240.8,243.8,238.2,238.2,9150,0
MBK,60,20220809,150000,238.6,242,238,238,7715,0
MBK,60,20220809,160000,237.8,237.8,235.2,236.6,10713,0
MBK,60,20220809,170000,236.6,237,232.4,232.8,13339,0
MBK,60,20220810,100000,230.2,231.4,224.6,229,10004,0
MBK,60,20220810,110000,229.2,230.4,228.2,229,10418,0
MBK,60,20220810,120000,229.6,230.4,228.6,230,3215,0
MBK,60,20220810,130000,230.4,230.4,228.4,230,2098,0
MBK,60,20220810,140000,229.4,236.2,229,236.2,7132,0
MBK,60,20220810,150000,236.4,241.8,235.4,239,15903,0
MBK,60,20220810,160000,239,239.8,236.8,237.4,8049,0
MBK,60,20220810,170000,237,238,233.6,235.2,8141,0
MBK,60,20220811,100000,239,239.2,235.4,236.8,5998,0
MBK,60,20220811,110000,236.8,236.8,235.6,236.6,2754,0
MBK,60,20220811,120000,236.8,236.8,236,236.6,1213,0
MBK,60,20220811,130000,236,237.4,236,237,2083,0
MBK,60,20220811,140000,237.4,240.6,237.4,240,1584,0
MBK,60,20220811,150000,240,241,239.2,240.4,2756,0
MBK,60,20220811,160000,240.2,244,238.2,242,7075,0
MBK,60,20220811,170000,242.8,244.6,242,244.6,11342,0
MBK,60,20220812,100000,247.2,251.8,245,251.2,5834,0
MBK,60,20220812,110000,251.4,253.2,250,251.2,5509,0
MBK,60,20220812,120000,251.2,252.6,250,252,2982,0
MBK,60,20220812,130000,252,252.6,248.6,250,7470,0
MBK,60,20220812,140000,249.8,249.8,246.6,249.6,2727,0
MBK,60,20220812,150000,249.6,252.4,248.2,252.2,5377,0
MBK,60,20220812,160000,252.2,252.2,250,251.8,1797,0
MBK,60,20220812,170000,251.2,252.4,250,251.2,8538,0
MBK,60,20220816,100000,253,261.8,251.6,260,10153,0
MBK,60,20220816,110000,260,264,257.6,263,6283,0
MBK,60,20220816,120000,262,262,257.8,257.8,7268,0
MBK,60,20220816,130000,257.8,261,257.8,260.4,3380,0
MBK,60,20220816,140000,260,263.2,260,261.2,5161,0
MBK,60,20220816,150000,261.2,263.4,259,259.6,8148,0
MBK,60,20220816,160000,260.2,261.6,259.8,260,9405,0
MBK,60,20220816,170000,260,260.4,256,258.2,28832,0
MBK,60,20220817,100000,260,261.8,255.2,255.6,8289,0
MBK,60,20220817,110000,255.6,255.6,249,251.2,8634,0
MBK,60,20220817,120000,251.2,251.2,248.2,249.8,7416,0
MBK,60,20220817,130000,249.8,252.4,249.4,249.6,12328,0
MBK,60,20220817,140000,249.2,250.8,245,246,15563,0
MBK,60,20220817,150000,246.2,248,245,245.6,12819,0
MBK,60,20220817,160000,245.6,247.4,244.4,245.6,12343,0
MBK,60,20220817,170000,245.6,247.2,243.8,246,22341,0
MBK,60,20220818,100000,245,250.6,242.8,248.2,10889,0
MBK,60,20220818,110000,249.8,253,249.2,252.4,4168,0
MBK,60,20220818,120000,252.2,255.8,252,253,5760,0
MBK,60,20220818,130000,254,256.6,254,254.6,4325,0
MBK,60,20220818,140000,254.4,255.4,252,254,3200,0
MBK,60,20220818,150000,254.2,256.2,252.6,255.4,6722,0
MBK,60,20220818,160000,255.4,256.4,252.2,252.4,6066,0
MBK,60,20220818,170000,252.8,255.6,251.8,253.6,11341,0
MBK,60,20220819,100000,249.4,252.4,247.2,248,4533,0
MBK,60,20220819,110000,248,249,242.8,245.2,8270,0
MBK,60,20220819,120000,245,249,244.8,247.6,5484,0
