<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPL,60,20220804,100000,6.05,6.08,5.966,5.968,117175,0
OPL,60,20220804,110000,5.98,5.98,5.924,5.934,130690,0
OPL,60,20220804,120000,5.934,5.944,5.884,5.91,189111,0
OPL,60,20220804,130000,5.916,5.932,5.902,5.926,118880,0
OPL,60,20220804,140000,5.922,5.954,5.91,5.95,121479,0
OPL,60,20220804,150000,5.954,5.964,5.896,5.902,170221,0
OPL,60,20220804,160000,5.904,5.916,5.894,5.904,362007,0
OPL,60,20220804,170000,5.9,5.936,5.86,5.902,1168381,0
OPL,60,20220805,100000,5.904,5.986,5.9,5.97,99531,0
OPL,60,20220805,110000,5.966,5.99,5.96,5.99,74640,0
OPL,60,20220805,120000,5.99,6.034,5.98,6.002,64437,0
OPL,60,20220805,130000,6,6.022,5.982,6.012,36675,0
OPL,60,20220805,140000,6.018,6.028,6,6.024,56737,0
OPL,60,20220805,150000,6.022,6.024,5.92,5.932,147467,0
OPL,60,20220805,160000,5.932,5.938,5.9,5.922,191710,0
OPL,60,20220805,170000,5.914,5.964,5.9,5.94,612600,0
OPL,60,20220808,100000,5.95,5.998,5.95,5.984,62194,0
OPL,60,20220808,110000,5.99,6.078,5.982,6.076,52281,0
OPL,60,20220808,120000,6.08,6.23,6.072,6.194,382027,0
OPL,60,20220808,130000,6.196,6.27,6.196,6.266,278191,0
OPL,60,20220808,140000,6.268,6.31,6.25,6.288,245706,0
OPL,60,20220808,150000,6.29,6.292,6.25,6.25,93161,0
OPL,60,20220808,160000,6.248,6.268,6.22,6.258,141386,0
OPL,60,20220808,170000,6.266,6.288,6.232,6.28,417117,0
OPL,60,20220809,100000,6.28,6.28,6.15,6.158,67526,0
OPL,60,20220809,110000,6.154,6.192,6.114,6.192,175039,0
OPL,60,20220809,120000,6.192,6.198,6.112,6.112,123891,0
OPL,60,20220809,130000,6.112,6.114,6.06,6.066,175369,0
OPL,60,20220809,140000,6.072,6.118,6.06,6.096,225356,0
OPL,60,20220809,150000,6.096,6.11,6.068,6.082,203096,0
OPL,60,20220809,160000,6.082,6.09,6.05,6.084,224601,0
OPL,60,20220809,170000,6.08,6.14,6.066,6.076,507410,0
OPL,60,20220810,100000,6.076,6.076,6.032,6.05,77393,0
OPL,60,20220810,110000,6.062,6.062,5.982,6.014,62781,0
OPL,60,20220810,120000,6.014,6.024,5.98,5.992,82386,0
OPL,60,20220810,130000,6,6.012,5.972,5.99,118957,0
OPL,60,20220810,140000,5.988,5.988,5.964,5.964,41742,0
OPL,60,20220810,150000,5.968,6.07,5.952,6.06,195131,0
OPL,60,20220810,160000,6.066,6.098,5.998,6.098,303533,0
OPL,60,20220810,170000,6.098,6.124,6.076,6.088,317962,0
OPL,60,20220811,100000,6.16,6.198,6.106,6.126,153916,0
OPL,60,20220811,110000,6.116,6.174,6.102,6.15,219941,0
OPL,60,20220811,120000,6.152,6.152,6.096,6.096,130603,0
OPL,60,20220811,130000,6.096,6.132,6.09,6.132,129919,0
OPL,60,20220811,140000,6.14,6.18,6.14,6.146,127752,0
OPL,60,20220811,150000,6.146,6.18,6.134,6.18,192134,0
OPL,60,20220811,160000,6.178,6.23,6.17,6.218,270342,0
OPL,60,20220811,170000,6.222,6.24,6.196,6.228,741187,0
OPL,60,20220812,100000,6.21,6.232,6.184,6.206,66700,0
OPL,60,20220812,110000,6.206,6.216,6.2,6.214,77168,0
OPL,60,20220812,120000,6.21,6.292,6.204,6.29,288141,0
OPL,60,20220812,130000,6.292,6.31,6.28,6.28,220272,0
OPL,60,20220812,140000,6.28,6.3,6.28,6.288,177378,0
OPL,60,20220812,150000,6.284,6.322,6.284,6.304,188856,0
OPL,60,20220812,160000,6.304,6.42,6.3,6.402,404738,0
OPL,60,20220812,170000,6.396,6.4,6.372,6.394,545942,0
OPL,60,20220816,100000,6.43,6.482,6.4,6.448,187369,0
OPL,60,20220816,110000,6.44,6.55,6.44,6.546,449738,0
OPL,60,20220816,120000,6.546,6.56,6.518,6.532,458816,0
OPL,60,20220816,130000,6.536,6.574,6.518,6.536,246855,0
OPL,60,20220816,140000,6.534,6.556,6.516,6.52,429021,0
OPL,60,20220816,150000,6.516,6.526,6.456,6.458,180703,0
OPL,60,20220816,160000,6.458,6.472,6.39,6.448,202408,0
OPL,60,20220816,170000,6.438,6.5,6.438,6.468,571125,0
OPL,60,20220817,100000,6.5,6.5,6.364,6.404,110888,0
OPL,60,20220817,110000,6.412,6.412,6.278,6.282,146520,0
OPL,60,20220817,120000,6.282,6.326,6.246,6.26,196828,0
OPL,60,20220817,130000,6.264,6.318,6.258,6.31,206921,0
OPL,60,20220817,140000,6.312,6.45,6.31,6.412,276149,0
OPL,60,20220817,150000,6.416,6.47,6.412,6.428,234994,0
OPL,60,20220817,160000,6.43,6.436,6.372,6.392,274666,0
OPL,60,20220817,170000,6.386,6.394,6.328,6.344,317985,0
OPL,60,20220818,100000,6.33,6.44,6.33,6.402,111891,0
OPL,60,20220818,110000,6.406,6.42,6.392,6.412,49556,0
OPL,60,20220818,120000,6.418,6.422,6.38,6.412,50879,0
OPL,60,20220818,130000,6.4,6.412,6.374,6.4,101335,0
OPL,60,20220818,140000,6.402,6.416,6.384,6.416,41557,0
OPL,60,20220818,150000,6.412,6.418,6.338,6.338,133739,0
OPL,60,20220818,160000,6.338,6.344,6.3,6.304,220531,0
OPL,60,20220818,170000,6.302,6.316,6.25,6.274,538809,0
OPL,60,20220819,100000,6.25,6.28,6.244,6.27,49293,0
OPL,60,20220819,110000,6.268,6.31,6.25,6.282,118046,0
OPL,60,20220819,120000,6.278,6.302,6.246,6.29,108339,0
OPL,60,20220819,130000,6.278,6.286,6.218,6.222,107052,0
OPL,60,20220819,140000,6.22,6.32,6.22,6.296,132634,0
OPL,60,20220819,150000,6.306,6.372,6.268,6.358,97538,0
OPL,60,20220819,160000,6.358,6.398,6.322,6.326,144547,0
OPL,60,20220819,170000,6.326,6.36,6.228,6.262,427396,0
OPL,60,20220822,100000,6.25,6.26,6.18,6.248,56812,0
OPL,60,20220822,110000,6.224,6.238,6.2,6.232,28084,0
OPL,60,20220822,120000,6.224,6.224,6.152,6.172,101468,0
OPL,60,20220822,130000,6.164,6.22,6.16,6.214,29923,0
OPL,60,20220822,140000,6.216,6.242,6.216,6.228,43630,0
OPL,60,20220822,150000,6.226,6.256,6.226,6.238,47643,0
OPL,60,20220822,160000,6.228,6.236,6.198,6.23,121742,0
OPL,60,20220822,170000,6.228,6.262,6.216,6.226,276655,0
OPL,60,20220823,100000,6.198,6.2,6.132,6.186,57844,0
OPL,60,20220823,110000,6.19,6.252,6.19,6.238,59640,0
OPL,60,20220823,120000,6.234,6.242,6.198,6.24,62391,0
OPL,60,20220823,130000,6.234,6.24,6.164,6.218,116278,0
OPL,60,20220823,140000,6.216,6.264,6.216,6.264,62692,0
OPL,60,20220823,150000,6.26,6.264,6.226,6.24,72800,0
OPL,60,20220823,160000,6.24,6.24,6.186,6.216,117009,0
OPL,60,20220823,170000,6.214,6.27,6.2,6.2,329054,0
OPL,60,20220824,100000,6.252,6.252,6.156,6.168,57625,0
OPL,60,20220824,110000,6.166,6.222,6.15,6.192,58184,0
OPL,60,20220824,120000,6.188,6.188,6.13,6.16,74521,0
OPL,60,20220824,130000,6.152,6.18,6.13,6.18,60475,0
OPL,60,20220824,140000,6.194,6.194,6.158,6.168,47907,0
OPL,60,20220824,150000,6.158,6.18,6.132,6.132,79622,0
OPL,60,20220824,160000,6.132,6.14,6.066,6.07,111213,0
OPL,60,20220824,170000,6.07,6.078,6.03,6.05,287549,0
OPL,60,20220825,100000,6.12,6.12,6.07,6.092,105227,0
OPL,60,20220825,110000,6.1,6.134,6.074,6.074,66984,0
OPL,60,20220825,120000,6.074,6.092,6.05,6.068,107961,0
OPL,60,20220825,130000,6.068,6.088,6.05,6.086,62668,0
OPL,60,20220825,140000,6.08,6.102,6.07,6.082,71326,0
OPL,60,20220825,150000,6.078,6.086,6.05,6.06,99159,0
OPL,60,20220825,160000,6.06,6.072,6.046,6.058,172385,0
OPL,60,20220825,170000,6.058,6.126,6.05,6.084,278672,0
OPL,60,20220826,100000,6.06,6.078,6.022,6.062,38960,0
OPL,60,20220826,110000,6.082,6.082,5.97,5.974,112132,0
OPL,60,20220826,120000,5.98,6.018,5.968,6,39541,0
OPL,60,20220826,130000,6.006,6.028,5.998,6.028,56940,0
OPL,60,20220826,140000,6.034,6.068,6.022,6.068,28854,0
OPL,60,20220826,150000,6.054,6.072,6.032,6.068,61506,0
OPL,60,20220826,160000,6.074,6.11,6.072,6.098,66109,0
OPL,60,20220826,170000,6.09,6.1,6.05,6.096,358220,0
OPL,60,20220829,100000,5.974,6.022,5.898,5.908,155352,0
OPL,60,20220829,110000,5.916,5.928,5.89,5.9,198493,0
OPL,60,20220829,120000,5.902,5.914,5.888,5.912,245885,0
OPL,60,20220829,130000,5.91,5.932,5.894,5.92,136517,0
OPL,60,20220829,140000,5.916,5.952,5.9,5.95,164789,0
OPL,60,20220829,150000,5.946,5.982,5.92,5.97,187126,0
OPL,60,20220829,160000,5.968,6.026,5.966,6.002,353679,0
OPL,60,20220829,170000,6,6.05,5.994,6.018,631485,0
OPL,60,20220830,100000,6.05,6.11,5.988,6.102,136351,0
OPL,60,20220830,110000,6.102,6.12,6.076,6.106,179655,0
OPL,60,20220830,120000,6.102,6.138,6.098,6.114,187661,0
OPL,60,20220830,130000,6.11,6.168,6.1,6.15,206487,0
OPL,60,20220830,140000,6.16,6.174,6.146,6.152,125858,0
OPL,60,20220830,150000,6.152,6.162,6.13,6.14,216607,0
OPL,60,20220830,160000,6.14,6.162,6.126,6.14,407978,0
OPL,60,20220830,170000,6.14,6.158,6.13,6.152,972855,0
OPL,60,20220831,100000,6.16,6.214,6.14,6.18,311105,0
