<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCO,60,20220804,100000,35.92,35.92,35.32,35.56,500,0
PCO,60,20220804,110000,35.36,35.42,35.3,35.32,3525,0
PCO,60,20220804,120000,35.36,35.42,35.22,35.28,5858,0
PCO,60,20220804,130000,35.28,35.4,35.1,35.16,4181,0
PCO,60,20220804,140000,35.16,35.16,34.86,34.86,4027,0
PCO,60,20220804,150000,34.86,35.22,34.86,35.22,106178,0
PCO,60,20220804,160000,35.24,35.78,34.98,35.78,14427,0
PCO,60,20220804,170000,35.78,35.78,34.8,35.12,30992,0
PCO,60,20220805,100000,34.7,35.06,34.52,34.9,7026,0
PCO,60,20220805,110000,34.9,35.16,34.9,34.94,4726,0
PCO,60,20220805,120000,34.94,35.24,34.9,35.06,1006,0
PCO,60,20220805,130000,35.26,35.26,35.02,35.02,841,0
PCO,60,20220805,140000,35,35.34,35,35.2,4791,0
PCO,60,20220805,150000,35.18,35.3,35,35,6041,0
PCO,60,20220805,160000,35.02,35.64,35,35.54,178584,0
PCO,60,20220805,170000,35.46,35.64,35,35.14,15474,0
PCO,60,20220808,100000,35.24,35.24,34.76,34.82,1855,0
PCO,60,20220808,110000,34.8,34.8,34.5,34.64,1452,0
PCO,60,20220808,120000,34.54,34.88,34.5,34.68,4184,0
PCO,60,20220808,130000,34.82,35.34,34.82,35.16,25691,0
PCO,60,20220808,140000,35.2,35.64,35.16,35.64,113802,0
PCO,60,20220808,150000,35.58,35.98,35.5,35.96,14078,0
PCO,60,20220808,160000,35.84,36.18,35.8,35.9,16499,0
PCO,60,20220808,170000,35.86,36,35.62,35.9,13020,0
PCO,60,20220809,100000,36.2,36.2,35.48,35.58,6507,0
PCO,60,20220809,110000,35.5,35.56,35.34,35.4,9018,0
PCO,60,20220809,120000,35.48,35.66,35.3,35.62,10146,0
PCO,60,20220809,130000,35.62,35.76,35.34,35.62,90869,0
PCO,60,20220809,140000,35.64,35.74,35.5,35.5,5152,0
PCO,60,20220809,150000,35.5,35.68,35.5,35.6,2327,0
PCO,60,20220809,160000,35.52,35.96,35.5,35.96,188251,0
PCO,60,20220809,170000,35.8,36.18,35.8,36.18,54857,0
PCO,60,20220810,100000,36.5,37.28,36.3,37,88189,0
PCO,60,20220810,110000,37.02,37.16,36.8,36.82,109474,0
PCO,60,20220810,120000,36.86,36.94,36.8,36.84,8278,0
PCO,60,20220810,130000,37,37,36.82,36.88,5736,0
PCO,60,20220810,140000,36.88,36.98,36.88,36.98,5350,0
PCO,60,20220810,150000,36.98,36.98,36.44,36.56,25805,0
PCO,60,20220810,160000,36.56,36.7,36.24,36.24,18487,0
PCO,60,20220810,170000,36.38,36.8,36.22,36.6,72872,0
PCO,60,20220811,100000,37.3,37.3,36.4,36.4,6167,0
PCO,60,20220811,110000,36.4,36.6,36.32,36.5,1398,0
PCO,60,20220811,120000,36.6,36.66,36.5,36.5,3497,0
PCO,60,20220811,130000,36.66,36.66,36.6,36.66,410,0
PCO,60,20220811,140000,36.6,36.64,36.52,36.64,712,0
PCO,60,20220811,150000,36.52,36.78,36.52,36.78,4705,0
PCO,60,20220811,160000,36.78,36.78,36.34,36.34,20249,0
PCO,60,20220811,170000,36.46,36.88,36.46,36.7,35040,0
PCO,60,20220812,100000,36.78,37.5,36.7,37.5,19683,0
PCO,60,20220812,110000,37.46,37.68,37.42,37.5,6362,0
PCO,60,20220812,120000,37.5,37.5,36.9,37.04,17220,0
PCO,60,20220812,130000,37.02,37.44,37,37.24,13609,0
PCO,60,20220812,140000,37.22,37.24,37.08,37.24,9187,0
PCO,60,20220812,150000,37.24,37.6,37.18,37.5,13407,0
PCO,60,20220812,160000,37.5,37.56,37.22,37.28,19927,0
PCO,60,20220812,170000,37.28,37.96,37.28,37.5,45957,0
PCO,60,20220816,100000,38.18,38.18,37.22,37.56,4443,0
PCO,60,20220816,110000,37.4,38.2,37.3,38.2,167703,0
PCO,60,20220816,120000,38.14,38.4,38.04,38.4,15768,0
PCO,60,20220816,130000,38.46,38.7,38.1,38.18,18884,0
PCO,60,20220816,140000,38.1,38.5,37.84,38.5,25007,0
PCO,60,20220816,150000,38.46,38.46,38.16,38.2,4719,0
PCO,60,20220816,160000,38.04,38.1,37.78,37.82,35274,0
PCO,60,20220816,170000,38.2,38.2,37.7,37.94,26125,0
PCO,60,20220817,100000,38,38.5,38,38.1,11003,0
PCO,60,20220817,110000,38.1,38.28,38,38.02,125352,0
PCO,60,20220817,120000,38.04,38.28,38.02,38.18,28344,0
PCO,60,20220817,130000,38.14,38.14,38.02,38.02,9874,0
PCO,60,20220817,140000,38.02,38.02,37.9,37.9,3653,0
PCO,60,20220817,150000,37.9,38,37.42,37.42,13088,0
PCO,60,20220817,160000,37.42,37.78,37.22,37.78,14777,0
PCO,60,20220817,170000,37.78,38.4,37.78,38.1,56596,0
PCO,60,20220818,100000,38.1,38.1,37.64,37.64,3415,0
