<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEO,60,20220804,100000,72.2,72.7,69.82,69.98,484670,0
PEO,60,20220804,110000,69.9,70.6,69.32,70.24,238158,0
PEO,60,20220804,120000,70.18,70.28,69.66,69.98,131410,0
PEO,60,20220804,130000,70.02,71.46,69.92,71.18,250830,0
PEO,60,20220804,140000,71.2,71.22,70.68,70.98,107028,0
PEO,60,20220804,150000,70.98,71.22,70.8,71.06,148681,0
PEO,60,20220804,160000,71.06,71.3,70.82,71.06,245690,0
PEO,60,20220804,170000,71.12,71.18,69.8,70,455323,0
PEO,60,20220805,100000,70.82,71.8,70.56,71.2,92716,0
PEO,60,20220805,110000,71.06,71.2,70.5,70.5,58213,0
PEO,60,20220805,120000,70.54,70.68,70.12,70.24,68205,0
PEO,60,20220805,130000,70.24,70.72,70.12,70.4,44639,0
PEO,60,20220805,140000,70.46,70.52,70.18,70.42,37081,0
PEO,60,20220805,150000,70.36,70.44,69.18,69.58,99003,0
PEO,60,20220805,160000,69.5,69.74,69.04,69.38,94129,0
PEO,60,20220805,170000,69.42,70,69.36,69.78,176295,0
PEO,60,20220808,100000,70.34,70.82,69.42,69.66,106225,0
PEO,60,20220808,110000,69.62,69.86,69.22,69.56,47136,0
PEO,60,20220808,120000,69.62,70.3,69.28,70.04,46331,0
PEO,60,20220808,130000,70.04,71.22,70,71.08,77774,0
PEO,60,20220808,140000,71.08,71.7,70.96,71.68,48146,0
PEO,60,20220808,150000,71.68,72.96,71.54,72.5,114685,0
PEO,60,20220808,160000,72.5,72.76,72.22,72.6,126735,0
PEO,60,20220808,170000,72.52,72.98,72.26,72.98,258687,0
PEO,60,20220809,100000,72.96,73.7,72.52,73.5,91535,0
PEO,60,20220809,110000,73.48,73.62,72.96,73.54,209658,0
PEO,60,20220809,120000,73.54,74.84,73.54,74.66,251532,0
PEO,60,20220809,130000,74.52,74.86,74.1,74.3,192844,0
PEO,60,20220809,140000,74.24,74.74,73.9,74.14,120694,0
PEO,60,20220809,150000,74.06,74.7,73.9,73.9,129094,0
PEO,60,20220809,160000,73.92,73.94,73.22,73.72,141900,0
PEO,60,20220809,170000,73.72,73.72,73,73,158037,0
PEO,60,20220810,100000,73.26,73.26,71.3,71.74,91925,0
PEO,60,20220810,110000,71.9,71.9,71.24,71.64,51118,0
PEO,60,20220810,120000,71.64,72.02,71.6,71.84,34216,0
PEO,60,20220810,130000,71.84,71.84,71.6,71.68,50621,0
PEO,60,20220810,140000,71.64,71.96,71.6,71.8,29581,0
PEO,60,20220810,150000,71.82,73.7,71.6,73.5,75225,0
PEO,60,20220810,160000,73.48,73.48,72.46,73.24,76913,0
PEO,60,20220810,170000,73.16,73.5,72.84,73.4,177596,0
PEO,60,20220811,100000,74.36,74.36,72.5,72.72,45032,0
PEO,60,20220811,110000,72.7,73.18,72.26,73.06,36988,0
PEO,60,20220811,120000,73.02,73.22,72.8,73.04,28579,0
PEO,60,20220811,130000,73.08,73.14,72.56,72.66,27602,0
PEO,60,20220811,140000,72.7,73.46,72.66,73.4,28716,0
PEO,60,20220811,150000,73.36,73.54,72.98,73.26,38526,0
PEO,60,20220811,160000,73.26,73.3,72.92,73.3,60539,0
PEO,60,20220811,170000,73.3,73.6,73,73.6,171364,0
PEO,60,20220812,100000,72.78,74.68,72.78,74.38,61381,0
PEO,60,20220812,110000,74.36,74.86,74.14,74.22,62841,0
PEO,60,20220812,120000,74.22,74.8,74.22,74.78,38475,0
PEO,60,20220812,130000,74.7,74.76,74,74,42271,0
PEO,60,20220812,140000,74.1,74.12,73.78,74.02,36526,0
PEO,60,20220812,150000,73.98,74.66,73.84,74.62,65326,0
PEO,60,20220812,160000,74.66,74.8,74.42,74.78,85910,0
PEO,60,20220812,170000,74.76,74.76,73.7,74.02,115889,0
PEO,60,20220816,100000,74.6,74.8,73.24,74.16,76156,0
PEO,60,20220816,110000,74.16,75.02,73.7,74.62,169237,0
PEO,60,20220816,120000,74.62,74.86,74.24,74.48,48790,0
PEO,60,20220816,130000,74.46,74.72,74.28,74.58,50252,0
PEO,60,20220816,140000,74.56,74.8,74.46,74.68,52183,0
PEO,60,20220816,150000,74.64,74.74,73.64,73.86,69907,0
PEO,60,20220816,160000,73.86,74.48,73.5,74.18,87934,0
PEO,60,20220816,170000,74.14,74.26,73.06,73.64,260190,0
PEO,60,20220817,100000,73.3,73.4,72.46,72.46,48747,0
PEO,60,20220817,110000,72.54,72.54,71.28,71.6,97180,0
PEO,60,20220817,120000,71.6,72.22,71.34,72.1,104250,0
PEO,60,20220817,130000,72.16,72.18,71.32,71.48,105207,0
PEO,60,20220817,140000,71.48,71.6,70.78,71,95394,0
PEO,60,20220817,150000,71.02,71.88,71.02,71.56,140126,0
PEO,60,20220817,160000,71.54,71.8,71.26,71.74,281216,0
PEO,60,20220817,170000,71.72,71.9,70.88,71.18,266354,0
PEO,60,20220818,100000,71.8,72.68,71.1,71.92,54975,0
PEO,60,20220818,110000,71.86,72.8,71.76,72.64,185055,0
PEO,60,20220818,120000,72.7,73.62,72.58,73.3,79159,0
PEO,60,20220818,130000,73.22,73.9,73.06,73.68,89778,0
PEO,60,20220818,140000,73.6,74,73.32,73.92,85064,0
PEO,60,20220818,150000,73.86,74.48,73.46,74.34,97754,0
PEO,60,20220818,160000,74.38,74.38,73.38,73.42,59772,0
PEO,60,20220818,170000,73.3,73.92,73.16,73.6,133291,0
PEO,60,20220819,100000,72.5,73.04,72.5,72.5,47913,0
PEO,60,20220819,110000,72.52,72.6,71.4,71.76,91732,0
PEO,60,20220819,120000,71.66,71.72,71.22,71.6,88031,0
PEO,60,20220819,130000,71.58,71.98,71.4,71.64,69563,0
PEO,60,20220819,140000,71.54,72.4,71.54,72.4,70108,0
PEO,60,20220819,150000,72.24,72.9,72,72.72,69384,0
PEO,60,20220819,160000,72.68,73.34,72.02,72.4,76762,0
PEO,60,20220819,170000,72.34,72.64,72,72,173873,0
PEO,60,20220822,100000,72.2,72.98,71.64,72,66816,0
PEO,60,20220822,110000,71.86,72,70.8,70.8,87250,0
PEO,60,20220822,120000,70.8,71.2,70.34,70.6,71480,0
