<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGE,60,20220804,100000,10,10,9.83,9.868,52637,0
PGE,60,20220804,110000,9.84,9.864,9.736,9.752,76619,0
PGE,60,20220804,120000,9.736,9.76,9.7,9.708,83548,0
PGE,60,20220804,130000,9.698,9.836,9.668,9.792,89754,0
PGE,60,20220804,140000,9.792,9.8,9.734,9.734,74025,0
PGE,60,20220804,150000,9.732,9.75,9.66,9.698,146371,0
PGE,60,20220804,160000,9.698,9.708,9.61,9.66,269865,0
PGE,60,20220804,170000,9.648,9.654,9.5,9.512,454374,0
PGE,60,20220805,100000,9.51,9.78,9.51,9.75,220055,0
PGE,60,20220805,110000,9.758,9.762,9.66,9.682,113571,0
PGE,60,20220805,120000,9.696,9.736,9.68,9.708,96318,0
PGE,60,20220805,130000,9.706,9.73,9.66,9.69,128033,0
PGE,60,20220805,140000,9.694,9.716,9.674,9.71,55805,0
PGE,60,20220805,150000,9.71,9.716,9.61,9.636,181425,0
PGE,60,20220805,160000,9.646,9.694,9.638,9.638,196388,0
PGE,60,20220805,170000,9.636,9.66,9.538,9.548,636981,0
PGE,60,20220808,100000,9.604,9.656,9.538,9.646,90144,0
PGE,60,20220808,110000,9.656,9.67,9.426,9.516,105143,0
PGE,60,20220808,120000,9.516,9.524,9.424,9.5,162136,0
PGE,60,20220808,130000,9.5,9.592,9.478,9.584,102564,0
PGE,60,20220808,140000,9.584,9.66,9.584,9.634,209894,0
PGE,60,20220808,150000,9.62,9.856,9.612,9.738,251702,0
PGE,60,20220808,160000,9.746,9.842,9.724,9.798,259960,0
PGE,60,20220808,170000,9.792,9.84,9.732,9.8,545168,0
PGE,60,20220809,100000,9.86,9.888,9.756,9.868,75870,0
PGE,60,20220809,110000,9.868,9.87,9.724,9.818,45191,0
PGE,60,20220809,120000,9.828,9.838,9.706,9.826,102254,0
PGE,60,20220809,130000,9.812,9.822,9.744,9.788,100536,0
PGE,60,20220809,140000,9.788,9.842,9.77,9.77,96757,0
PGE,60,20220809,150000,9.77,9.8,9.7,9.716,181441,0
PGE,60,20220809,160000,9.702,9.79,9.698,9.712,141136,0
PGE,60,20220809,170000,9.726,9.8,9.7,9.734,334258,0
PGE,60,20220810,100000,9.662,9.788,9.574,9.606,140833,0
PGE,60,20220810,110000,9.594,9.64,9.55,9.596,94678,0
PGE,60,20220810,120000,9.58,9.634,9.572,9.604,44027,0
PGE,60,20220810,130000,9.604,9.69,9.578,9.602,76931,0
