<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN,60,20220804,100000,74.42,74.44,73.14,73.76,83192,0
PKN,60,20220804,110000,73.7,74.52,73.7,74.28,102055,0
PKN,60,20220804,120000,74.26,74.42,73.9,74.2,48030,0
PKN,60,20220804,130000,74.14,74.4,73.72,73.96,81853,0
PKN,60,20220804,140000,73.82,73.82,72.82,72.86,143299,0
PKN,60,20220804,150000,72.94,73.18,72.3,72.9,251613,0
PKN,60,20220804,160000,72.9,73.18,72.42,73.08,198744,0
PKN,60,20220804,170000,73.02,73.34,72.02,72.4,460860,0
PKN,60,20220805,100000,74.5,76.1,71.92,72.02,415144,0
PKN,60,20220805,110000,72.04,72.2,70.52,70.74,226393,0
PKN,60,20220805,120000,70.76,70.76,69.56,69.98,219699,0
PKN,60,20220805,130000,69.92,70.1,69.5,69.72,171665,0
PKN,60,20220805,140000,69.72,69.94,69.38,69.5,189023,0
PKN,60,20220805,150000,69.5,69.5,68.52,69.1,265342,0
PKN,60,20220805,160000,69.1,69.6,68.7,69.58,445105,0
PKN,60,20220805,170000,69.58,70.68,69.44,70.16,659529,0
PKN,60,20220808,100000,70.5,72.26,70.1,71.8,206871,0
PKN,60,20220808,110000,71.8,71.8,70.74,70.84,89957,0
PKN,60,20220808,120000,70.86,70.92,70.28,70.7,83208,0
PKN,60,20220808,130000,70.7,70.9,70.46,70.76,140586,0
PKN,60,20220808,140000,70.72,70.96,70.24,70.32,145499,0
PKN,60,20220808,150000,70.36,70.84,69.84,70.62,107824,0
PKN,60,20220808,160000,70.58,70.76,70.24,70.56,127988,0
PKN,60,20220808,170000,70.56,71.16,70.48,71.16,326235,0
PKN,60,20220809,100000,71.1,71.8,70.92,71.78,87766,0
PKN,60,20220809,110000,71.8,71.8,71.04,71.74,80183,0
PKN,60,20220809,120000,71.72,71.74,70.94,71.06,139731,0
PKN,60,20220809,130000,71.02,71.18,70.8,70.94,124611,0
PKN,60,20220809,140000,70.96,71.22,70.7,70.7,140764,0
PKN,60,20220809,150000,70.74,70.88,70.42,70.5,135846,0
PKN,60,20220809,160000,70.44,70.88,70.24,70.5,172682,0
PKN,60,20220809,170000,70.5,70.5,70,70.4,327909,0
PKN,60,20220810,100000,70.3,71.2,69.8,70.14,126286,0
PKN,60,20220810,110000,70.14,70.7,70.02,70.62,78209,0
PKN,60,20220810,120000,70.62,70.74,69.9,69.92,101253,0
PKN,60,20220810,130000,69.9,70.96,69.84,70.88,156417,0
PKN,60,20220810,140000,70.96,70.96,70.44,70.54,47134,0
PKN,60,20220810,150000,70.62,71.5,70.62,71.14,124073,0
PKN,60,20220810,160000,71.2,71.44,70.9,70.98,103644,0
PKN,60,20220810,170000,70.98,71.3,70.78,71.08,263033,0
PKN,60,20220811,100000,71.42,71.7,70.62,71.02,42556,0
PKN,60,20220811,110000,70.96,71.32,70.7,71.2,39259,0
PKN,60,20220811,120000,71.24,71.3,70.7,70.88,36392,0
PKN,60,20220811,130000,70.96,71,70.62,70.76,34894,0
PKN,60,20220811,140000,70.8,71,70.66,70.78,28394,0
PKN,60,20220811,150000,70.78,71.26,70.74,70.94,70198,0
PKN,60,20220811,160000,71.06,71.68,70.8,71.56,115247,0
PKN,60,20220811,170000,71.54,72.22,71.28,72.22,388109,0
PKN,60,20220812,100000,72,72.46,71.62,72.36,78022,0
PKN,60,20220812,110000,72.36,72.6,71.92,71.98,68892,0
PKN,60,20220812,120000,71.98,72.2,71.76,72.02,42771,0
PKN,60,20220812,130000,71.96,71.98,71.4,71.62,39838,0
PKN,60,20220812,140000,71.46,71.52,71.02,71.34,33543,0
PKN,60,20220812,150000,71.34,71.44,70.86,71.3,64108,0
PKN,60,20220812,160000,71.36,71.94,71,71.94,129235,0
PKN,60,20220812,170000,71.82,72.3,71.54,72.3,308863,0
PKN,60,20220816,100000,71.98,71.98,70.12,70.82,233342,0
PKN,60,20220816,110000,70.82,71.44,70.42,70.68,138249,0
PKN,60,20220816,120000,70.76,70.84,69.94,69.94,192260,0
PKN,60,20220816,130000,69.92,70.26,69.84,70.04,111887,0
PKN,60,20220816,140000,70.02,70.4,70,70.32,76723,0
PKN,60,20220816,150000,70.32,70.5,70.02,70.06,92574,0
PKN,60,20220816,160000,70.06,70.2,68.88,70.12,309943,0
PKN,60,20220816,170000,70.1,70.52,69.5,69.7,466294,0
PKN,60,20220817,100000,69.7,69.82,68.6,68.72,186510,0
PKN,60,20220817,110000,68.78,68.86,67.24,67.58,260813,0
PKN,60,20220817,120000,67.62,67.7,67.28,67.5,237780,0
PKN,60,20220817,130000,67.5,68,67.32,67.72,125723,0
PKN,60,20220817,140000,67.72,67.94,67.42,67.52,120503,0
PKN,60,20220817,150000,67.52,67.6,67.1,67.1,196136,0
PKN,60,20220817,160000,67.12,67.74,66.94,67.56,165269,0
PKN,60,20220817,170000,67.48,67.62,67.22,67.5,477417,0
PKN,60,20220818,100000,67.5,68.16,66.62,67.5,202652,0
PKN,60,20220818,110000,67.5,67.76,67.3,67.68,176817,0
PKN,60,20220818,120000,67.62,68.44,67.4,68.18,321653,0
PKN,60,20220818,130000,68.18,68.4,68,68.24,110484,0
PKN,60,20220818,140000,68.24,68.66,68.12,68.36,183019,0
PKN,60,20220818,150000,68.4,68.82,68.14,68.32,237646,0
PKN,60,20220818,160000,68.32,68.5,68.18,68.18,154232,0
PKN,60,20220818,170000,68.2,68.56,68.1,68.26,485868,0
PKN,60,20220819,100000,67.94,68.34,67.3,67.82,206878,0
PKN,60,20220819,110000,67.76,67.96,67.12,67.42,150332,0
PKN,60,20220819,120000,67.38,68.5,67.28,68.26,224147,0
PKN,60,20220819,130000,68.22,68.5,67.5,68.02,190575,0
PKN,60,20220819,140000,68.02,68.54,67.92,68.46,305192,0
PKN,60,20220819,150000,68.48,69.1,68.36,68.74,277506,0
PKN,60,20220819,160000,68.78,69.22,68.7,68.86,263486,0
PKN,60,20220819,170000,68.86,69,68.12,68.3,516798,0
PKN,60,20220822,100000,67.8,68,66.2,66.42,198979,0
PKN,60,20220822,110000,66.4,66.44,65.8,65.96,138904,0
PKN,60,20220822,120000,66,66,65.4,65.86,152167,0
PKN,60,20220822,130000,65.84,66.34,65.6,66.08,157822,0
PKN,60,20220822,140000,66.08,66.28,65.82,65.94,176851,0
PKN,60,20220822,150000,65.94,66,65.54,65.86,236284,0
PKN,60,20220822,160000,65.9,65.9,64.9,65.02,379555,0
PKN,60,20220822,170000,65.02,65.5,64.96,65.2,436405,0
PKN,60,20220823,100000,65.2,67.18,65.02,66.8,242338,0
PKN,60,20220823,110000,66.84,67.38,66.44,67.24,188092,0
PKN,60,20220823,120000,67.22,68.86,67.14,68.62,475045,0
PKN,60,20220823,130000,68.68,69.76,68.52,69.28,527761,0
PKN,60,20220823,140000,69.24,69.52,68.82,69.4,389191,0
PKN,60,20220823,150000,69.4,69.4,68.98,69.06,257803,0
PKN,60,20220823,160000,69.08,69.4,69.04,69.22,358448,0
PKN,60,20220823,170000,69.22,69.46,68.5,69,1638589,0
PKN,60,20220824,100000,69.04,69.04,66.14,66.18,272290,0
PKN,60,20220824,110000,66.2,66.94,66.02,66.86,228351,0
PKN,60,20220824,120000,66.86,67.4,66.72,66.8,271802,0
PKN,60,20220824,130000,66.74,66.86,66.32,66.52,352704,0
PKN,60,20220824,140000,66.5,66.66,66.16,66.16,138600,0
PKN,60,20220824,150000,66.14,66.42,65.8,66.14,439385,0
PKN,60,20220824,160000,66.14,66.16,65.24,65.44,304404,0
PKN,60,20220824,170000,65.4,66.38,65.3,66,831433,0
PKN,60,20220825,100000,66.76,66.8,65.4,65.46,381062,0
PKN,60,20220825,110000,65.62,65.7,64.52,65.66,435448,0
PKN,60,20220825,120000,65.64,65.66,64.8,64.8,120287,0
PKN,60,20220825,130000,64.8,65,64.7,64.92,68883,0
PKN,60,20220825,140000,64.94,65.02,64.82,64.98,146013,0
PKN,60,20220825,150000,64.96,64.98,64.66,64.8,116947,0
PKN,60,20220825,160000,64.82,65,64.62,65,116643,0
PKN,60,20220825,170000,64.98,65.06,64.7,64.82,324784,0
PKN,60,20220826,100000,65.3,65.3,63.92,63.94,140797,0
PKN,60,20220826,110000,63.94,64.1,62.9,63.42,325377,0
PKN,60,20220826,120000,63.42,63.72,63.16,63.26,132731,0
PKN,60,20220826,130000,63.24,63.3,62.92,63.12,133716,0
PKN,60,20220826,140000,63.06,63.28,62.94,63.22,206053,0
PKN,60,20220826,150000,63.22,63.28,62.7,62.78,150921,0
PKN,60,20220826,160000,62.82,63,62.5,62.66,241725,0
PKN,60,20220826,170000,62.64,62.8,62.02,62.5,451883,0
PKN,60,20220829,100000,61.72,62,60.66,61.9,224814,0
PKN,60,20220829,110000,61.96,62.5,61.78,62.32,104391,0
PKN,60,20220829,120000,62.32,62.38,61.86,62.38,86763,0
PKN,60,20220829,130000,62.4,63.76,62.4,63.4,165941,0
PKN,60,20220829,140000,63.4,64.48,62.66,64.48,191459,0
PKN,60,20220829,150000,64.46,64.76,63.96,64.36,166275,0
PKN,60,20220829,160000,64.4,64.74,63.98,64,151106,0
PKN,60,20220829,170000,64.06,64.7,63.78,64.12,250713,0
PKN,60,20220830,100000,64.56,64.7,63.3,63.94,191670,0
PKN,60,20220830,110000,63.9,64.6,63.88,64.02,162851,0
PKN,60,20220830,120000,64.04,64.14,63.78,63.84,104094,0
PKN,60,20220830,130000,63.8,64,63.66,63.8,93811,0
PKN,60,20220830,140000,63.84,63.96,63.26,63.48,80872,0
PKN,60,20220830,150000,63.44,63.46,62,62.2,216374,0
PKN,60,20220830,160000,62.2,62.2,61.24,61.52,311832,0
PKN,60,20220830,170000,61.42,61.5,60.7,61.14,439185,0
PKN,60,20220831,100000,61.02,61.54,60.4,60.7,266120,0
PKN,60,20220831,110000,60.66,60.8,59.28,59.82,526356,0
PKN,60,20220831,120000,59.8,60.6,59.4,60.38,137372,0
PKN,60,20220831,130000,60.32,60.5,59.78,59.78,140457,0
PKN,60,20220831,140000,59.78,60.2,59.54,59.72,205137,0
PKN,60,20220831,150000,59.8,60.96,59.78,60.72,351275,0
PKN,60,20220831,160000,60.76,61.18,60.34,60.5,229003,0
PKN,60,20220831,170000,60.44,61.44,60.32,60.98,1413201,0
PKN,60,20220901,100000,60.58,60.68,58.86,58.96,205515,0
PKN,60,20220901,110000,58.96,59.2,58.58,59.08,120713,0
PKN,60,20220901,120000,58.98,59.06,58.5,58.96,252973,0
PKN,60,20220901,130000,58.96,59.08,58.22,58.78,409400,0
PKN,60,20220901,140000,58.86,59.4,58.8,58.82,146026,0
PKN,60,20220901,150000,58.8,58.86,57.82,57.82,192999,0
