<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKO,60,20220804,100000,24.79,24.83,24.03,24.07,590254,0
PKO,60,20220804,110000,24.07,24.1,23.77,24.06,551552,0
PKO,60,20220804,120000,24.07,24.12,24,24.08,370669,0
PKO,60,20220804,130000,24.1,24.3,24.01,24.24,934948,0
PKO,60,20220804,140000,24.24,24.32,24.04,24.06,368918,0
PKO,60,20220804,150000,24.08,24.1,24.03,24.07,568709,0
PKO,60,20220804,160000,24.07,24.3,24.04,24.18,941752,0
PKO,60,20220804,170000,24.18,24.23,23.9,23.95,1696247,0
PKO,60,20220805,100000,24.06,24.54,24.01,24.48,566939,0
PKO,60,20220805,110000,24.46,24.5,24.23,24.32,402048,0
PKO,60,20220805,120000,24.31,24.39,24.21,24.34,278108,0
PKO,60,20220805,130000,24.36,24.36,24.2,24.24,229146,0
PKO,60,20220805,140000,24.25,24.33,24.21,24.3,261941,0
PKO,60,20220805,150000,24.28,24.3,23.9,24,442489,0
PKO,60,20220805,160000,23.99,24.15,23.93,24.01,489977,0
PKO,60,20220805,170000,24.03,24.24,24.03,24.03,893129,0
PKO,60,20220808,100000,24.3,24.56,24.11,24.43,437056,0
PKO,60,20220808,110000,24.39,24.41,24.13,24.18,261629,0
PKO,60,20220808,120000,24.2,24.29,24.1,24.27,191267,0
PKO,60,20220808,130000,24.27,24.45,24.23,24.37,286003,0
PKO,60,20220808,140000,24.36,24.53,24.3,24.53,306989,0
PKO,60,20220808,150000,24.54,25.19,24.51,25.1,590199,0
PKO,60,20220808,160000,25.13,25.14,24.9,24.92,528159,0
PKO,60,20220808,170000,24.94,25.16,24.87,25.13,1435795,0
PKO,60,20220809,100000,25.1,25.46,25.04,25.4,481641,0
PKO,60,20220809,110000,25.35,25.63,25.29,25.59,507500,0
PKO,60,20220809,120000,25.58,25.9,25.57,25.84,456184,0
PKO,60,20220809,130000,25.84,25.95,25.56,25.56,384133,0
PKO,60,20220809,140000,25.56,25.69,25.39,25.46,414880,0
PKO,60,20220809,150000,25.46,25.76,25.41,25.52,421751,0
PKO,60,20220809,160000,25.51,25.51,25.11,25.25,501146,0
PKO,60,20220809,170000,25.23,25.39,25,25,808833,0
PKO,60,20220810,100000,24.99,24.99,24.64,24.7,312707,0
PKO,60,20220810,110000,24.74,24.81,24.56,24.77,231279,0
PKO,60,20220810,120000,24.73,24.97,24.72,24.86,190177,0
PKO,60,20220810,130000,24.87,25.02,24.7,24.78,347880,0
PKO,60,20220810,140000,24.77,25,24.69,24.79,223271,0
PKO,60,20220810,150000,24.77,25.47,24.7,25.36,545838,0
PKO,60,20220810,160000,25.39,25.49,24.92,24.98,444178,0
PKO,60,20220810,170000,24.99,25.14,24.91,25.04,646958,0
PKO,60,20220811,100000,25.3,25.37,25.02,25.2,395999,0
PKO,60,20220811,110000,25.2,25.43,25.01,25.36,367686,0
PKO,60,20220811,120000,25.39,25.4,25.3,25.39,257718,0
PKO,60,20220811,130000,25.4,25.46,25.2,25.25,270726,0
PKO,60,20220811,140000,25.28,25.39,25.27,25.32,396305,0
PKO,60,20220811,150000,25.32,25.48,25.32,25.44,253032,0
PKO,60,20220811,160000,25.42,25.47,25.3,25.42,337393,0
PKO,60,20220811,170000,25.42,25.5,25.3,25.5,648574,0
PKO,60,20220812,100000,25.47,25.68,25.22,25.6,203979,0
PKO,60,20220812,110000,25.62,25.74,25.42,25.42,269290,0
PKO,60,20220812,120000,25.42,25.65,25.35,25.58,164641,0
PKO,60,20220812,130000,25.59,25.59,25.38,25.38,128062,0
PKO,60,20220812,140000,25.38,25.39,25.18,25.23,237658,0
PKO,60,20220812,150000,25.23,25.46,25.19,25.46,161118,0
PKO,60,20220812,160000,25.46,25.55,25.41,25.49,497573,0
PKO,60,20220812,170000,25.46,25.46,25.2,25.35,458187,0
PKO,60,20220816,100000,25.5,25.5,24.9,25.4,442367,0
PKO,60,20220816,110000,25.4,25.74,25.36,25.6,425689,0
PKO,60,20220816,120000,25.61,25.61,25.42,25.48,330212,0
PKO,60,20220816,130000,25.46,25.59,25.43,25.47,145416,0
PKO,60,20220816,140000,25.44,25.59,25.39,25.5,213616,0
PKO,60,20220816,150000,25.5,25.6,25.36,25.38,163543,0
PKO,60,20220816,160000,25.42,25.56,25.31,25.46,214203,0
PKO,60,20220816,170000,25.42,25.51,25.24,25.37,631051,0
PKO,60,20220817,100000,25.38,25.53,25,25.02,388736,0
PKO,60,20220817,110000,25.04,25.08,24.69,24.86,428474,0
PKO,60,20220817,120000,24.86,24.95,24.73,24.82,214000,0
PKO,60,20220817,130000,24.86,24.86,24.51,24.53,313583,0
PKO,60,20220817,140000,24.53,24.56,24.26,24.33,517343,0
PKO,60,20220817,150000,24.35,24.5,24.28,24.28,470360,0
PKO,60,20220817,160000,24.28,24.46,24.15,24.28,815755,0
PKO,60,20220817,170000,24.29,24.36,24.09,24.09,1046469,0
PKO,60,20220818,100000,24.43,24.43,23.97,24.11,539615,0
PKO,60,20220818,110000,24.11,24.3,24.03,24.15,509514,0
PKO,60,20220818,120000,24.15,24.62,24.14,24.58,283378,0
PKO,60,20220818,130000,24.58,24.66,24.41,24.61,267414,0
PKO,60,20220818,140000,24.61,24.63,24.43,24.61,170755,0
PKO,60,20220818,150000,24.61,24.77,24.61,24.76,299934,0
PKO,60,20220818,160000,24.76,24.76,24.54,24.55,330009,0
PKO,60,20220818,170000,24.55,24.73,24.38,24.7,643857,0
PKO,60,20220819,100000,24.26,24.67,24.12,24.52,308041,0
PKO,60,20220819,110000,24.55,24.57,24.21,24.37,425498,0
PKO,60,20220819,120000,24.33,24.48,24.22,24.36,616569,0
PKO,60,20220819,130000,24.36,24.67,24.32,24.44,360082,0
PKO,60,20220819,140000,24.45,24.99,24.45,24.98,585108,0
PKO,60,20220819,150000,24.95,25.06,24.77,24.95,411227,0
PKO,60,20220819,160000,24.92,25.24,24.81,24.84,669590,0
PKO,60,20220819,170000,24.81,25,24.66,24.73,1281913,0
PKO,60,20220822,100000,24.65,25.07,24.5,24.63,909298,0
PKO,60,20220822,110000,24.6,24.61,24.03,24.11,334880,0
PKO,60,20220822,120000,24.1,24.15,23.95,24.03,834320,0
PKO,60,20220822,130000,24.04,24.3,24.03,24.28,218239,0
PKO,60,20220822,140000,24.27,24.4,24.18,24.27,167742,0
PKO,60,20220822,150000,24.23,24.38,24.19,24.35,153601,0
PKO,60,20220822,160000,24.32,24.47,24.23,24.32,228073,0
PKO,60,20220822,170000,24.31,24.47,24.22,24.25,533840,0
PKO,60,20220823,100000,24.1,24.4,23.91,24.15,455648,0
PKO,60,20220823,110000,24.15,24.33,24.07,24.12,301029,0
PKO,60,20220823,120000,24.12,24.45,24.11,24.36,343120,0
PKO,60,20220823,130000,24.34,24.37,24.11,24.22,306626,0
PKO,60,20220823,140000,24.22,24.25,24.11,24.18,224195,0
PKO,60,20220823,150000,24.18,24.25,24.1,24.1,276919,0
PKO,60,20220823,160000,24.1,24.25,24.06,24.18,321029,0
PKO,60,20220823,170000,24.19,24.25,24.05,24.05,752187,0
PKO,60,20220824,100000,23.94,24.14,23.51,23.64,656798,0
PKO,60,20220824,110000,23.65,24.09,23.56,24.07,416575,0
PKO,60,20220824,120000,24.06,24.06,23.71,23.79,395903,0
PKO,60,20220824,130000,23.79,23.79,23.62,23.64,218033,0
PKO,60,20220824,140000,23.63,23.75,23.53,23.59,298527,0
PKO,60,20220824,150000,23.59,23.66,23.45,23.6,545930,0
PKO,60,20220824,160000,23.59,23.69,23.41,23.55,265230,0
PKO,60,20220824,170000,23.55,23.6,23.4,23.48,707339,0
PKO,60,20220825,100000,23.71,24.44,23.7,24.36,495044,0
PKO,60,20220825,110000,24.36,24.57,24.33,24.37,518934,0
PKO,60,20220825,120000,24.37,24.4,23.88,23.92,340978,0
PKO,60,20220825,130000,23.9,24.12,23.84,24.04,259118,0
PKO,60,20220825,140000,24.04,24.31,23.96,24.28,328339,0
PKO,60,20220825,150000,24.28,24.35,24.21,24.24,273491,0
PKO,60,20220825,160000,24.24,24.3,24.13,24.28,253889,0
PKO,60,20220825,170000,24.29,24.48,24.27,24.48,582620,0
PKO,60,20220826,100000,24.6,24.6,24.15,24.17,261775,0
PKO,60,20220826,110000,24.18,24.19,23.77,23.88,247138,0
PKO,60,20220826,120000,23.88,23.99,23.8,23.9,240324,0
PKO,60,20220826,130000,23.89,23.89,23.7,23.73,175415,0
PKO,60,20220826,140000,23.72,23.88,23.65,23.76,205500,0
PKO,60,20220826,150000,23.78,23.83,23.57,23.62,334277,0
