<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,60,20220804,100000,317,318,312.5,316,103,0
PLW,60,20220804,110000,317,317,316,316,15,0
PLW,60,20220804,120000,316,321,316,318,216,0
PLW,60,20220804,130000,320,324.5,320,321.5,125,0
PLW,60,20220804,140000,323.5,329.5,322.5,328.5,158,0
PLW,60,20220804,150000,328,331,327,330,398,0
PLW,60,20220804,160000,328.5,330,326.5,326.5,92,0
PLW,60,20220804,170000,326.5,329,325,329,509,0
PLW,60,20220805,100000,330,339,328.5,339,1209,0
PLW,60,20220805,110000,338,339.5,331,335,219,0
PLW,60,20220805,120000,332,337.5,331,337,321,0
PLW,60,20220805,130000,336,336,332,334,72,0
PLW,60,20220805,140000,332.5,332.5,330,331.5,157,0
PLW,60,20220805,150000,330,330,327,328,158,0
PLW,60,20220805,160000,329,329,329,329,20,0
PLW,60,20220805,170000,329.5,334,329.5,333,199,0
PLW,60,20220808,100000,337,337,329,330,265,0
PLW,60,20220808,110000,327,333,327,329,118,0
PLW,60,20220808,120000,329,329,323.5,327,221,0
PLW,60,20220808,130000,330,331.5,329,331.5,79,0
PLW,60,20220808,140000,330.5,331.5,330,331,78,0
PLW,60,20220808,150000,329.5,331.5,329,329,157,0
PLW,60,20220808,160000,329,331,327.5,331,95,0
PLW,60,20220808,170000,330,331.5,326,329.5,259,0
PLW,60,20220809,100000,331,331,325.5,325.5,68,0
PLW,60,20220809,110000,324,329,324,329,46,0
PLW,60,20220809,120000,329,329,329,329,49,0
PLW,60,20220809,130000,326.5,328.5,323,327.5,103,0
PLW,60,20220809,140000,327,328.5,321,327,157,0
PLW,60,20220809,150000,327.5,327.5,318,323.5,888,0
PLW,60,20220809,160000,323.5,327,319,327,495,0
PLW,60,20220809,170000,324,326.5,321,326.5,189,0
PLW,60,20220810,100000,326,326,321,321,97,0
PLW,60,20220810,110000,323.5,324,323.5,324,7,0
PLW,60,20220810,120000,320,323.5,319.5,323.5,77,0
PLW,60,20220810,130000,323.5,324,320,324,12,0
PLW,60,20220810,150000,320,324,317.5,322,281,0
PLW,60,20220810,160000,324,324,321.5,323,75,0
PLW,60,20220810,170000,323,325.5,321.5,325.5,161,0
PLW,60,20220811,100000,326.5,326.5,325,325,56,0
PLW,60,20220811,110000,325.5,326.5,325.5,326.5,38,0
PLW,60,20220811,120000,326.5,326.5,324.5,326,16,0
PLW,60,20220811,130000,326,326.5,326,326,29,0
PLW,60,20220811,140000,324,326.5,324,326.5,43,0
PLW,60,20220811,150000,326.5,327,325,327,465,0
PLW,60,20220811,170000,325,327,321.5,325.5,153,0
PLW,60,20220812,100000,325.5,327.5,322.5,325.5,112,0
PLW,60,20220812,110000,325,325,325,325,1,0
PLW,60,20220812,120000,326,327.5,326,327.5,12,0
PLW,60,20220812,140000,325.5,325.5,324,324,32,0
PLW,60,20220812,150000,324,327.5,324,327.5,25,0
PLW,60,20220812,160000,327.5,327.5,327.5,327.5,14,0
PLW,60,20220812,170000,327.5,327.5,324,327.5,186,0
PLW,60,20220816,100000,329,329,318.5,324,629,0
PLW,60,20220816,110000,324,324,319.5,320.5,209,0
PLW,60,20220816,120000,320,321,319,320,56,0
PLW,60,20220816,130000,321,323,320,323,381,0
PLW,60,20220816,140000,320,325.5,319,325,375,0
PLW,60,20220816,150000,321.5,323.5,320,321,181,0
PLW,60,20220816,160000,319.5,319.5,319,319,319,0
PLW,60,20220816,170000,320,320,318.5,319,100,0
