<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PZU,60,20220804,100000,28.1524,28.2453,27.9944,28.1245,49858.575342366,0
PZU,60,20220804,110000,28.1245,28.1431,27.9107,27.92,46367.18395294,0
PZU,60,20220804,120000,27.9758,27.9851,27.7992,27.8829,40302.169080154,0
PZU,60,20220804,130000,27.8829,28.1431,27.8829,28.1431,72098.039138799,0
PZU,60,20220804,140000,28.1245,28.2082,28.0037,28.0502,71402.988649564,0
PZU,60,20220804,150000,28.078,28.0873,27.9015,27.9758,60045.476320819,0
PZU,60,20220804,160000,27.9665,27.9851,27.8829,27.9386,133485.19960834,0
PZU,60,20220804,170000,27.9479,27.9944,27.7435,27.9758,436674.61526331,0
PZU,60,20220805,100000,27.8829,28.1338,27.8736,28.0037,93402.520156369,0
PZU,60,20220805,110000,27.9851,28.0037,27.8364,27.8457,70264.655185769,0
PZU,60,20220805,120000,27.8364,27.9851,27.8085,27.8922,70201.175342325,0
PZU,60,20220805,130000,27.9015,27.9293,27.8457,27.8922,38666.756164306,0
PZU,60,20220805,140000,27.8922,28.0223,27.8643,27.9572,72048.546379504,0
PZU,60,20220805,150000,27.9386,27.9758,27.7899,27.8085,188200.52093896,0
PZU,60,20220805,160000,27.8085,27.8085,27.3996,27.6226,299069.6814084,0
PZU,60,20220805,170000,27.604,27.6412,27.4832,27.4832,336673.41917741,0
PZU,60,20220808,100000,27.8085,27.8457,27.539,27.5947,65558.539334507,0
PZU,60,20220808,110000,27.5947,27.7992,27.539,27.6598,59703.330723951,0
PZU,60,20220808,120000,27.6598,27.8922,27.5669,27.8085,87159.976907849,0
PZU,60,20220808,130000,27.8178,28.0688,27.7713,28.0409,103247.27553795,0
PZU,60,20220808,140000,28.0316,28.3383,28.0316,28.3011,111760.03013676,0
PZU,60,20220808,150000,28.2732,28.5428,28.2639,28.5242,269894.77573332,0
PZU,60,20220808,160000,28.487,28.5799,28.4777,28.5242,166851.92680984,0
PZU,60,20220808,170000,28.5242,28.6543,28.4591,28.6264,455317.24657443,0
PZU,60,20220809,100000,28.6171,28.7937,28.487,28.6171,74672.73855171,0
PZU,60,20220809,110000,28.6171,28.6264,28.2639,28.6264,140732.66105647,0
PZU,60,20220809,120000,28.6264,28.8123,28.6264,28.7472,86586.506457752,0
PZU,60,20220809,130000,28.7194,28.7286,28.5056,28.5428,73560.227397113,0
PZU,60,20220809,140000,28.5521,28.7101,28.4591,28.5613,98846.723678863,0
PZU,60,20220809,150000,28.5521,28.7194,28.5149,28.5335,89738.980038959,0
PZU,60,20220809,160000,28.5242,28.5892,28.4219,28.5892,112573.43287649,0
PZU,60,20220809,170000,28.5428,28.8588,28.487,28.645,372614.84579182,0
PZU,60,20220810,100000,28.7379,28.7379,27.8085,27.9758,218700.97181952,0
PZU,60,20220810,110000,27.9665,28.0502,27.8364,28.0223,147295.83131086,0
PZU,60,20220810,120000,28.0223,28.0873,27.9479,28.0223,62534.101369738,0
PZU,60,20220810,130000,28.0595,28.0595,27.8643,27.9572,81699.634442107,0
PZU,60,20220810,140000,27.9572,28.1524,27.9572,28.0223,51539.17729931,0
PZU,60,20220810,150000,28.0316,28.5428,27.9015,28.3662,148003.79295469,0
PZU,60,20220810,160000,28.3941,28.4126,28.1431,28.2732,155568.65362004,0
PZU,60,20220810,170000,28.2082,28.3011,28.1431,28.2268,268969.4763204,0
PZU,60,20220811,100000,28.6078,28.6078,28.3104,28.3755,45161.066927503,0
PZU,60,20220811,110000,28.3197,28.7472,28.2639,28.7101,133687.47436372,0
PZU,60,20220811,120000,28.7194,28.7194,28.5985,28.6915,61986.453228839,0
PZU,60,20220811,130000,28.7008,28.7751,28.6822,28.7008,110143.98395281,0
PZU,60,20220811,140000,28.7101,28.7844,28.7008,28.7565,83803.076712161,0
PZU,60,20220811,150000,28.7751,29.0911,28.7751,29.0261,200901.86927553,0
PZU,60,20220811,160000,29.0447,29.119,28.8495,29.0632,201845.45949079,0
PZU,60,20220811,170000,29.0911,29.2212,28.9982,29.1655,418217.04383478,0
PZU,60,20220812,100000,29.0911,29.277,28.7194,29.277,152897.12054764,0
