<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPL,60,20220804,100000,235,235.2,232,232,872,0
SPL,60,20220804,110000,232,232.2,229.4,230,1353,0
SPL,60,20220804,120000,231,231,228.4,229.6,1926,0
SPL,60,20220804,130000,229.6,234.2,228,233.6,6405,0
SPL,60,20220804,140000,233.4,235.8,232.2,235,6770,0
SPL,60,20220804,150000,235,236.6,235,235.6,7834,0
SPL,60,20220804,160000,235.4,237.4,234.4,237,12815,0
SPL,60,20220804,170000,237.4,238.6,235.2,236.6,29032,0
SPL,60,20220805,100000,234.8,236.8,234,236.2,4031,0
SPL,60,20220805,110000,236,237.2,234,234.2,6198,0
SPL,60,20220805,120000,234.4,235,231,232,3730,0
SPL,60,20220805,130000,232,232.8,231.2,231.2,4398,0
SPL,60,20220805,140000,231.2,231.4,230,230.6,3704,0
SPL,60,20220805,150000,230.4,231,224.2,225,9737,0
SPL,60,20220805,160000,225,226.4,224.2,225.6,11043,0
SPL,60,20220805,170000,225.8,229.6,225.8,226.4,31050,0
SPL,60,20220808,100000,229,229.6,226.6,227.6,3211,0
SPL,60,20220808,110000,227.2,227.2,224.4,225.6,6266,0
SPL,60,20220808,120000,225.4,230.8,225,230.8,8157,0
SPL,60,20220808,130000,229.8,231.4,229.4,230,19662,0
SPL,60,20220808,140000,229.8,231,229.4,230.4,31286,0
SPL,60,20220808,150000,230.4,234.4,229.8,234.4,56488,0
SPL,60,20220808,160000,234.8,237.8,234,234,18560,0
SPL,60,20220808,170000,233.6,235,232.8,235,47828,0
SPL,60,20220809,100000,234.8,237.8,234.2,235,9113,0
SPL,60,20220809,110000,235,236.8,233.6,235.6,3601,0
SPL,60,20220809,120000,236,241.4,235.6,239.2,14987,0
SPL,60,20220809,130000,239.2,241.2,239,241,10570,0
SPL,60,20220809,140000,241,241.4,237.4,238,9486,0
SPL,60,20220809,150000,238,240,237.8,237.8,5682,0
SPL,60,20220809,160000,237.6,237.6,235.8,237.4,12394,0
SPL,60,20220809,170000,237.2,237.2,234.4,234.6,18615,0
SPL,60,20220810,100000,233.2,236,228,229.2,5895,0
SPL,60,20220810,110000,229.4,230.2,227,230,5551,0
SPL,60,20220810,120000,229.8,230.2,229.4,229.6,2153,0
SPL,60,20220810,130000,229.4,229.8,229.4,229.8,4833,0
SPL,60,20220810,140000,229.4,230.6,229.4,230,3897,0
SPL,60,20220810,150000,230.2,235.2,230.2,235,7758,0
SPL,60,20220810,160000,235.2,235.8,233.8,235.8,9491,0
SPL,60,20220810,170000,236,237,235,236.8,15662,0
SPL,60,20220811,100000,240,240,235.8,237,2697,0
SPL,60,20220811,110000,237.8,239.6,236.8,238.8,1615,0
SPL,60,20220811,120000,239,239.4,237.8,239.2,1730,0
SPL,60,20220811,130000,239.6,241,239.2,240.2,5832,0
SPL,60,20220811,140000,240,241.6,240,241.6,4614,0
SPL,60,20220811,150000,241.6,242,239.8,241.2,7441,0
SPL,60,20220811,160000,241.2,241.6,239.2,241.2,7112,0
SPL,60,20220811,170000,240.8,242.2,239.2,241.6,20898,0
SPL,60,20220812,100000,240.2,244.6,240,244.6,2852,0
SPL,60,20220812,110000,243.4,246.2,243,244.6,4602,0
SPL,60,20220812,120000,244.8,246.6,244,245,3328,0
SPL,60,20220812,130000,245,246,244.4,245.8,1762,0
SPL,60,20220812,140000,245.8,246,244,245.8,1822,0
SPL,60,20220812,150000,245.8,247,245.2,246.6,1909,0
SPL,60,20220812,160000,246.6,247,245.8,246.6,1541,0
SPL,60,20220812,170000,246.6,247.4,245.2,247.2,8311,0
SPL,60,20220816,100000,249,249.2,244,248.8,3072,0
SPL,60,20220816,110000,248.8,256.4,248.6,255,8493,0
SPL,60,20220816,120000,255,255.6,250,251.2,5917,0
SPL,60,20220816,130000,251.4,253.4,251.2,252,3727,0
SPL,60,20220816,140000,252.2,253.4,251,252.6,5910,0
SPL,60,20220816,150000,252.4,253.4,249.4,250.4,6836,0
SPL,60,20220816,160000,250.2,251.8,249,250.4,6760,0
SPL,60,20220816,170000,250.2,252,245.8,248.8,30358,0
SPL,60,20220817,100000,244.8,248,242,242.8,2345,0
SPL,60,20220817,110000,242,243,238.8,241,3880,0
SPL,60,20220817,120000,241,241,238,239.2,16291,0
SPL,60,20220817,130000,238.6,239,238,238.6,4435,0
SPL,60,20220817,140000,238.8,239.2,236.4,237.2,5292,0
SPL,60,20220817,150000,237.2,238.2,235,235.4,6143,0
SPL,60,20220817,160000,235.4,237.4,234.4,237,6895,0
SPL,60,20220817,170000,236.8,237.8,233.8,235.2,16643,0
SPL,60,20220818,100000,238.2,238.2,232.2,233.2,2228,0
SPL,60,20220818,110000,233.6,235.4,233,234.4,1842,0
SPL,60,20220818,120000,235,241.6,235,240.8,10132,0
SPL,60,20220818,130000,241,242.2,241,242.2,4025,0
SPL,60,20220818,140000,242,243.4,242,243.4,6387,0
SPL,60,20220818,150000,243,245,242.6,244.4,4836,0
SPL,60,20220818,160000,243.8,244.8,243,243,3971,0
SPL,60,20220818,170000,243.2,245.6,242.6,244.4,10355,0
SPL,60,20220819,100000,244.2,244.2,239.8,239.8,3498,0
SPL,60,20220819,110000,240,241.6,236.8,240.6,8555,0
SPL,60,20220819,120000,239.8,244,239.2,243.4,5284,0
SPL,60,20220819,130000,243,245.2,241,243.2,5415,0
SPL,60,20220819,140000,243.8,246.4,242.6,243.8,8637,0
SPL,60,20220819,150000,243.8,244,242.6,244,9486,0
SPL,60,20220819,160000,243.4,244,239.8,241.8,9540,0
SPL,60,20220819,170000,241.6,243.8,240.6,241,10761,0
SPL,60,20220822,100000,238.6,242.4,237,237.8,4460,0
SPL,60,20220822,110000,237.8,237.8,234,236.2,5021,0
SPL,60,20220822,120000,235.4,236.4,234,236,4119,0
SPL,60,20220822,130000,236.4,238.6,236.4,238.4,3942,0
SPL,60,20220822,140000,238,239.4,237.4,237.6,3178,0
SPL,60,20220822,150000,238,238.2,236,236.8,5089,0
SPL,60,20220822,160000,236.8,236.8,236,236,7508,0
SPL,60,20220822,170000,236,237.2,235.8,236,14911,0
SPL,60,20220823,100000,234.4,239.4,233.8,238.8,1818,0
SPL,60,20220823,110000,238.2,238.6,235.6,237.8,4088,0
SPL,60,20220823,120000,237.8,238,235.6,236.2,4145,0
SPL,60,20220823,130000,236.2,236.4,233.6,234.6,5316,0
SPL,60,20220823,140000,234.8,235.4,234,234.6,2035,0
SPL,60,20220823,150000,234.6,235.6,233.2,233.2,3310,0
SPL,60,20220823,160000,233.6,236.4,233,235,4628,0
SPL,60,20220823,170000,235,236.4,233,233,24869,0
SPL,60,20220824,100000,232.6,232.8,225.8,228.6,3599,0
SPL,60,20220824,110000,227.8,233,227.8,233,5031,0
SPL,60,20220824,120000,232.8,233.4,230.8,231.8,1998,0
SPL,60,20220824,130000,231.6,231.8,230.2,230.8,1661,0
SPL,60,20220824,140000,231,232,230.6,231.6,1899,0
SPL,60,20220824,150000,231.4,232,228.8,230,3019,0
SPL,60,20220824,160000,229.4,229.8,227,227,2073,0
SPL,60,20220824,170000,227.2,228.2,226.2,227.6,10075,0
SPL,60,20220825,100000,230.4,233.6,229.6,233.2,2548,0
SPL,60,20220825,110000,233.4,235,232.8,234.6,1984,0
SPL,60,20220825,120000,234.6,234.8,234,234,11951,0
SPL,60,20220825,130000,234,235,233.2,235,3055,0
SPL,60,20220825,140000,235,236,232,233,5258,0
SPL,60,20220825,150000,233.2,233.8,231.4,231.4,2559,0
SPL,60,20220825,160000,231.6,232.4,229.6,231.6,3154,0
SPL,60,20220825,170000,231.4,233.6,231.2,233,7524,0
SPL,60,20220826,100000,229,233.4,229,231.6,1029,0
SPL,60,20220826,110000,231,231,228.2,229.2,1470,0
SPL,60,20220826,120000,229.6,231.4,229.6,229.6,2410,0
SPL,60,20220826,130000,229.6,230,228.6,229,1797,0
SPL,60,20220826,140000,228.6,230.6,228.6,230.2,941,0
SPL,60,20220826,150000,230.2,231.4,229.2,230.2,1629,0
SPL,60,20220826,160000,230.4,232.8,228.8,231.4,5178,0
SPL,60,20220826,170000,231,231,226.2,227.6,8339,0
SPL,60,20220829,100000,224,224,220.4,223.2,4342,0
SPL,60,20220829,110000,223.8,225.2,221.2,222.6,1892,0
SPL,60,20220829,120000,221.6,222.4,220.4,221.4,2628,0
SPL,60,20220829,130000,221,222,220,220.4,1504,0
SPL,60,20220829,140000,220,221.4,219,221.2,2868,0
SPL,60,20220829,150000,221.2,221.6,220.6,221.4,1585,0
SPL,60,20220829,160000,221,222,220.6,221.4,4719,0
SPL,60,20220829,170000,221.2,222.2,220.2,220.2,12224,0
SPL,60,20220830,100000,222,224,218,221,3760,0
SPL,60,20220830,110000,220.8,221.2,219,219,1601,0
SPL,60,20220830,120000,219,219.8,218.4,218.8,4900,0
SPL,60,20220830,130000,218.8,220,218.2,220,5798,0
SPL,60,20220830,140000,220,220.6,218,218.2,5234,0
SPL,60,20220830,150000,218,218,213.4,214,5556,0
SPL,60,20220830,160000,213.6,215.6,213,215.6,12279,0
SPL,60,20220830,170000,215.8,217,215,215,26093,0
SPL,60,20220831,100000,219.4,220,214,215,2989,0
SPL,60,20220831,110000,214.8,215.8,212.8,215.4,4549,0
SPL,60,20220831,120000,214.6,215.8,214,215,13089,0
SPL,60,20220831,130000,215.2,217,215,216,2474,0
SPL,60,20220831,140000,216,216.6,215,215,5702,0
SPL,60,20220831,150000,215,217.8,214.8,216,5159,0
SPL,60,20220831,160000,216,216.2,214.2,214.2,4641,0
SPL,60,20220831,170000,214.2,215.8,213.8,214.2,63962,0
SPL,60,20220901,100000,212.6,213,208.2,209,8573,0
SPL,60,20220901,110000,209.6,210.2,205.8,206.6,5267,0
SPL,60,20220901,120000,206.8,209,206.4,207.2,2597,0
SPL,60,20220901,130000,207.2,208.6,207,208.2,3613,0
SPL,60,20220901,140000,208,208.4,206.4,206.4,15460,0
SPL,60,20220901,150000,206.8,207.6,206,206.4,4596,0
SPL,60,20220901,160000,206.2,207.4,205.6,206.8,5392,0
SPL,60,20220901,170000,206.8,207.2,205,205,27109,0
SPL,60,20220902,100000,208,208,204.2,205.4,19135,0
SPL,60,20220902,110000,204.8,209,204.8,208,13580,0
SPL,60,20220902,120000,208.6,209.4,207.2,208,11174,0
SPL,60,20220902,130000,208.2,208.6,207,207.8,29454,0
SPL,60,20220902,140000,208.2,209,207.2,208.4,6045,0
SPL,60,20220902,150000,208,209,206.6,207.6,6316,0
SPL,60,20220902,160000,208,209,207,208,3427,0
SPL,60,20220902,170000,208.4,212.2,207.6,212.2,34832,0
SPL,60,20220905,100000,207,209,205.6,208.2,5013,0
SPL,60,20220905,110000,208,208.8,207.4,208,3012,0
SPL,60,20220905,120000,208,209.2,207.6,209.2,5955,0
SPL,60,20220905,130000,209,210,208.4,208.4,1931,0
SPL,60,20220905,140000,208.4,209.6,208.2,208.8,1916,0
SPL,60,20220905,150000,209,210,208.8,210,1479,0
SPL,60,20220905,160000,210,210,208.4,208.6,6064,0
SPL,60,20220905,170000,208.6,210,208.4,209,16770,0
SPL,60,20220906,100000,210,211.8,206.6,207,2004,0
SPL,60,20220906,110000,206.2,206.2,204.2,205,2351,0
SPL,60,20220906,120000,205.6,208.6,204.4,208,4925,0
SPL,60,20220906,130000,207.6,209.4,207,207,5450,0
SPL,60,20220906,140000,207.4,208.6,207,208.6,2329,0
SPL,60,20220906,150000,208.2,208.8,207.6,208.2,3589,0
SPL,60,20220906,160000,208,208.8,206.2,206.6,7325,0
SPL,60,20220906,170000,206.6,208.8,206,208,30411,0
SPL,60,20220907,100000,203,206.6,201.4,202.6,6906,0
SPL,60,20220907,110000,202.6,206.6,202.6,204.8,5180,0
SPL,60,20220907,120000,204.6,205.6,203,205.2,3953,0
SPL,60,20220907,130000,205.8,206.2,204.4,204.6,3527,0
SPL,60,20220907,140000,204.4,206,204.2,204.6,4476,0
SPL,60,20220907,150000,204.6,206.4,204.4,205.8,5735,0
SPL,60,20220907,160000,205.8,206.8,205.2,205.8,9085,0
SPL,60,20220907,170000,205.2,209.2,205.2,206.4,21690,0
SPL,60,20220908,100000,212.8,212.8,209.8,211.6,42757,0
SPL,60,20220908,110000,212,214.2,211.8,212.2,11803,0
SPL,60,20220908,120000,212.2,213,210.4,211.6,26010,0
SPL,60,20220908,130000,211.4,212,210.6,211.4,6657,0
SPL,60,20220908,140000,211.6,211.6,210.2,211,11534,0
SPL,60,20220908,150000,210.8,213,210,211.6,16419,0
SPL,60,20220908,160000,212,212.8,210.4,211,39237,0
SPL,60,20220908,170000,210.6,211.4,209.2,210,59056,0
SPL,60,20220909,100000,219,219,212.8,213.8,52954,0
SPL,60,20220909,110000,214.6,215.2,213.6,215,29593,0
SPL,60,20220909,120000,215,215,213.4,214.2,12359,0
SPL,60,20220909,130000,214,214.8,214,214.8,22859,0
SPL,60,20220909,140000,214.8,217.6,214.2,215,12172,0
SPL,60,20220909,150000,215,217.4,215,215.4,12442,0
SPL,60,20220909,160000,215.6,216.4,214,216,37495,0
SPL,60,20220909,170000,216,218,214.6,217,94111,0
SPL,60,20220912,100000,218.4,219.4,214.2,219.4,17736,0
SPL,60,20220912,110000,219.6,223,219.6,221.6,5822,0
SPL,60,20220912,120000,222,222.4,217.4,217.4,12948,0
SPL,60,20220912,130000,217.4,219.2,217.2,217.6,5080,0
SPL,60,20220912,140000,217.6,219.8,216.8,217.8,7630,0
SPL,60,20220912,150000,218,218.8,217,218.6,24233,0
SPL,60,20220912,160000,218.6,222.6,218.6,220.4,13658,0
SPL,60,20220912,170000,221,224,219,223.8,35161,0
SPL,60,20220913,100000,224.2,225.2,221.6,224.4,3914,0
SPL,60,20220913,110000,224.4,225.4,223.4,224.4,2234,0
SPL,60,20220913,120000,224.6,225.6,223.6,224.8,3211,0
SPL,60,20220913,130000,224.8,225.6,224.2,225.4,2538,0
SPL,60,20220913,140000,225.2,225.6,224.2,225,2431,0
SPL,60,20220913,150000,224.6,225.4,220.2,221.2,12167,0
